Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Causal organism,Count,Examples,Notes,,,,Count:,4092
Lesser Peachtree Borers,Lesser Peachtree Borers,Insect,,1,Ecto B715 Insecticide,,,,,,
Lesser peachtree borers,Lesser peachtree borers,Insect,,13,Ecto B736 Insecticide; Bonide Eight Insect Control Yard & Garden Ready To Spray; Permethrin 10 E.W.C.; Bonide Eight Insect Control Concentrate; Hi-Yield Kill-A-Bug II,,,,,,
lesser peachtree borers,lesser peachtree borers,Insect,,1,PRAMEX® Insect Killer R4 30223,,,,,,
Lesser webworm,Lesser webworm,Insect,,3,SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide,,,,,,
Lesser webworms,Lesser webworms,Insect,,2,Drexel Carbaryl 4L,,,,,,
Lettuce,Lettuce,Other,,43,Clean Slate®; CLOPYR AG; BLASTWAVE 480 SC; A229.02; A335.05,Review needed - unclear target type,,,,,
Lettuce aphid,Aphids,Insect,,10,AG35802-A B 50 WDG Insecticide; Endeavor; A151.01; Avalaire Pymetrozine; AG35802-a C 50 WDG Insecticide,,,,,,
Lettuce downy mildew,Downy Mildew,Disease,,2,Priaxor Xemium Brand Fungicide; Merivon Xemium Brand Fungicide,,,,,,
Lettuce Drop,Lettuce Drop,Other,,3,Companion® Maxx Liquid Biological Fungicide; PHC 25279,Review needed - unclear target type,,,,,
Lettuce drop,Lettuce drop,Other,,5,Priaxor Xemium Brand Fungicide; DuPont™ Aproach®; Endura Pro fungicide; VEGGIETURBO 5SC,Review needed - unclear target type,,,,,
Lettuce drop (Sclerotinia minor),Rot Diseases,Disease,,1,Sercadis Xemium Brand Fungicide,,,,,,
Lettuce drop (Sclerotinia sclerotiorum),Rot Diseases,Disease,,1,Sercadis Xemium Brand Fungicide,,,,,,
Lettuce drop caused by Sclerotinia minor,Rot Diseases,Disease,,1,Merivon Xemium Brand Fungicide,,,,,,
Leveillula,Leveillula,Other,,1,Carb-O-Nator,Review needed - unclear target type,,,,,
Leveillula (powdery mildew),Powdery Mildew,Disease,,2,Carb-O-Nator,,,,,,
Leveillula Taurica/Oidiopsis Taurica,Leveillula Taurica/Oidiopsis Taurica,Other,,6,Vismax Specialty,Review needed - unclear target type,,,,,
Lewis Mite,Mites,Insect,,30,Basin®; BASIN-T,,,,,,
Lewis mite,Mites,Insect,,2,Floramite; Sysstem Ready BLUE,,,,,,
Lewis Spider Mite,Mites,Insect,,7,TetraSan EZ Miticide/Ovicide; A221.04,,,,,,
Lice,Lice,Other,,43,PyGanic Crop Protection EC 5.0; Envi EC-X Emulsifiable Concentrate Insecticide; PYGANIC Crop Protection EC 1.4; Dairy & Livestock Spray Concentrate; BONIDE Pyrethrin Concentrate 60-6,Review needed - unclear target type,,,,,
Lichen,Lichen,Other,,7,CUPROQUIM NU-COP 40DF; Basic Copper 50 HB; Copper Hydroxide 20% DF; 3 LB. COPPER FLOWABLE FUNGICIDE; COC WP,Review needed - unclear target type,,,,,
Light Brown Apple Moth,Caterpillars/Moths,Insect,,35,SPLAT LBAM HD-O; Bioprotec PLUS; CheckMate LBAM-F; Agree WG; Sharda Indoxacarb 30% WDG,,,,,,
Light brown apple moth,Caterpillars/Moths,Insect,,209,A197.05; A132.01; Altacor Insect Control; Avalaire Methoxy 2F; AVAUNT,,,,,,
light brown apple moth,Caterpillars/Moths,Insect,,134,Blackhawk; A1101.04; GF-1587 SC-NC; A1101.19; Conserve SC Turf and Ornamental,,,,,,
Light-brown apple moth,Caterpillars/Moths,Insect,,6,Crymax®,,,,,,
Lilac Borer,Lilac Borer,Insect,,1,Hi-Yield 10% Permethrin Concentrate,,,,,,
Lilac borer,Lilac borer,Insect,,7,ISOMATE® P Pheromone,,,,,,
Limonius sp.,Limonius sp.,Other,,1,Sepresto 75 WS,Review needed - unclear target type,,,,,
Linaria vulgaris,Linaria vulgaris,Other,,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Linden Aphid,Aphids,Insect,,3,TRISTAR 8.5 SL INSECTICIDE,,,,,,
Liriomyza Leafminer,Leafminers,Insect,,6,Averland FC; VCP-030,,,,,,
Liriomyza leafminer,Leafminers,Insect,,15,ABBA 0.15 ME; ABACUS LoV/ABACUS V; Abamectin 0.15 EC Select; Willowood Abamectin 0.15EC,,,,,,
Liriomyza Leafminers,Leafminers,Insect,,6,F9318; VCP-030,,,,,,
Liriomyza leafminers,Leafminers,Insect,,112,A152.02; A131.01; A131.02; A131.04; A131.03,,,,,,
Liriomyza spp. Leafminer,Leafminers,Insect,,7,Willowood Oxamyl L; Vydate L,,,,,,
Listed Broadleaf Weeds,Broadleaf Weeds,Weed,,20,NNH-1792 SC Herbicide/Defoliant,,,,,,
Listed broadleaf weeds,Broadleaf Weeds,Weed,,29,ET® Herbicide/Defoliant,,,,,,
Listed Insect Pests,Listed Insect Pests,Other,,2,Pyganic® Crop Protection EC 5.0II,Review needed - unclear target type,,,,,
Listed insect pests,Listed insect pests,Other,,74,NEU1161; PYROL-O; F6130 G Insecticide,Review needed - unclear target type,,,,,
listed insect pests,listed insect pests,Other,,17,MGK Formula 7480; Synergy Brand,Review needed - unclear target type,,,,,
Listed insect pests as specified on label,Listed insect pests as specified on label,Other,,1,LYNX EC 1.4,Review needed - unclear target type,,,,,
Listed insects,Listed insects,Other,,44,PYROCIDE® Home and Garden Spray 74403; NEU1138I CONCENTRATE; SOUTHERN PREEN PLUS BIFENTHRIN; Ortho ZB Granules,Review needed - unclear target type,,,,,
listed pests,listed pests,Other,,1,NeemAzal® G,Review needed - unclear target type,,,,,
Listed Weeds,Weeds,Weed,,8,Strada Herbicide,,,,,,
Listeria monocytogenes,Listeria monocytogenes,Other,,32,Victory; ProduceMaxx; Antimicrobial Fruit & Vegetable Treatment,Review needed - unclear target type,,,,,
Listroderes spp.,Listroderes spp.,Other,,2,Metabrom 100,Review needed - unclear target type,,,,,
Little,Little,Other,,1,A229.02,Review needed - unclear target type,,,,,
little,little,Other,,10,F7127 SE HERBICIDE,Review needed - unclear target type,,,,,
Little bluestem,Little bluestem,Other,,1,Evital 5G,Review needed - unclear target type,,,,,
Little fire ants,Little fire ants,Insect,,3,Amdro Fire Ant Insecticide,,,,,,
Little Leaf Notcher,Little Leaf Notcher,Other,,37,A198.01; A110.04; A110.03; A110.08; A110.05,Review needed - unclear target type,,,,,
Little leaf notcher,Little leaf notcher,Other,,10,ACETO BIFENTHRIN 2 EC; Fastac CS Insecticide; FASTAC™ EC; Brigadier HPG Insecticide; F4092-3,Review needed - unclear target type,,,,,
little leaf notcher,little leaf notcher,Other,,1,Aceto Bifenthrin 2E,Review needed - unclear target type,,,,,
Little Leaf Notcher (Artipus floridanus),Little Leaf Notcher (Artipus floridanus),Other,,4,Imidacloprid Plus Bifenthrin 1 + 1 SC; Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC; Brigadier Insecticide,Review needed - unclear target type,,,,,
Little leaf notcher (Artipus floridanus),Little leaf notcher (Artipus floridanus),Other,,1,SWAGGER,Review needed - unclear target type,,,,,
Little Leaf Notchers,Little Leaf Notchers,Other,,3,2016BIFENTHRIN; FG14002-80; Discipline 2EC,Review needed - unclear target type,,,,,
Little Yellow,Little Yellow,Other,,1,Tempo Concentrate Insecticide,Review needed - unclear target type,,,,,
Littleseed,Littleseed,Other,,3,IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
Liver Spot,Leaf Spot,Disease,,141,A223.02; A223.05; A20560 Crop Fungicide; A201.08; A225.08,,,,,,
Liver spot,Leaf Spot,Disease,,70,A201.04; A224.04; A201.07; A253.03; A201.09,,,,,,
Liver Spot (Gnomonia caryae pv pecanae),Leaf Spot,Disease,,1,HELMSTAR PLUS SC,,,,,,
Liver spot (Gnomonia caryae),Leaf Spot,Disease,,2,Liberty 3 Way,,,,,,
Liver Spot (Gnomonia),Leaf Spot,Disease,,1,Quali-Pro™ 4.5,,,,,,
Liverwort,Liverwort,Other,,5,FreeHand 1.75G Herbicide,Review needed - unclear target type,,,,,
Liverworts,Liverworts,Other,,2,ECO-GUARDIAN WEED KILLER,Review needed - unclear target type,,,,,
livid,livid,Other,,10,F7127 SE HERBICIDE,Review needed - unclear target type,,,,,
Locust,Locust,Other,,6,ISARID; Bonide Eight Insect Control Yard & Garden Ready To Spray,Review needed - unclear target type,,,,,
locust,locust,Other,,2,NOFLY™ WP,Review needed - unclear target type,,,,,
Locusts,Locusts,Other,,2,Bioceres EC; AzaGuard,Review needed - unclear target type,,,,,
London,London,Other,,34,F7127 SE HERBICIDE; Dimension® 0.25G; Galigan® H2O; BLASTWAVE 480 SC; A229.02,Review needed - unclear target type,,,,,
London rocket,London rocket,Other,,17,Spin-Aid Herbicide; Quali-Pro Dithiopyr L; FreeHand 1.75G Herbicide,Review needed - unclear target type,,,,,
Long Horned Stem Borer,Long Horned Stem Borer,Insect,,5,CINNACURETM A300S,,,,,,
Long-tailed Vole,Long-tailed Vole,Vertebrate,,2,ZP Rodent Oat Bait AG,,,,,,
Long-tailed vole,Long-tailed vole,Vertebrate,,1,WILCO ZINC AG BAIT,,,,,,
Long-tailed voles (M. longicaudus),Long-tailed voles (M. longicaudus),Vertebrate,,2,Zinc Phosphide on Oats,,,,,,
Longtailed Mealybug,Mealybugs,Insect,,3,Sharda Clothianidin 23% SC (CRASH SC); V-10170 2.13 SC Insecticide,,,,,,
Longtailed mealybug,Mealybugs,Insect,,6,LN 1% PY,,,,,,
Looper,Looper,Other,,73,Bioprotec PLUS; A110.08; Avalaire Bifen FC; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE; A110.05,Review needed - unclear target type,,,,,
looper,looper,Other,,4,Blackhawk; Surround WP Agricultural Crop Protectant,Review needed - unclear target type,,,,,
Looper species,Looper species,Other,,23,Avalaire Lambda-Cy 1 EC; A115.04; AZ Lambda 2ME; AX LAMBDA-CY CRI; A115.02,Review needed - unclear target type,,,,,
looper species,looper species,Other,,1,LIBERTY LAMBDA 2 ME,Review needed - unclear target type,,,,,
Looper spp.,Looper spp.,Other,,52,Brigadier HPG Insecticide; Adama Lambda CY VC 223; Brigadier Insecticide; Athena Insecticide; Actylis Lambda-Cy Insecticide,Review needed - unclear target type,,,,,
looper spp.,looper spp.,Other,,2,DECLARE; CHA 1550-03,Review needed - unclear target type,,,,,
Loopers,Loopers,Other,,823,A122.01™; A110.08; A110.03; 2016BIFENTHRIN; A110.05,Review needed - unclear target type,,,,,
loopers,loopers,Other,,62,Blackhawk; A1101.04; Aceto Bifenthrin 2E; Captain Jack's Deadbug Brew Flower & Vegetable Garden Dust; A1101.19,Review needed - unclear target type,,,,,
Loosening sooty mold,Loosening sooty mold,Disease,,6,GLACIAL SPRAY FLUID; GRIFFIN 435 SOLUBLE OIL; Spray Oil 15E; SUPER 94 SPRAY OIL; SOL-OIL 97,,,,,,
loosening sooty mold,loosening sooty mold,Disease,,1,DIAMOND R BRAND 435 SOLUBLE OIL,,,,,,
Lophodermium leaf & twig blight,Blight,Disease,,3,Echo® 75WDG; Echo 90DF; Pegasus 82.5 DF,,,,,,
Lophodermium Leaf/Twig Blight,Blight,Disease,,5,Nufarm CTN 82.5; ELIXIR™ fungicide; Equus 500 ZN; EQUUS DF; Equus 720 SST Fungicide,,,,,,
Lophodermium leaf/twig blight,Blight,Disease,,27,Barrachlor Fungicide; AVALAIRE CHLOROTHALONIL 720 F; A265.01; AX CHLOROTHALONIL; Bravo 500,,,,,,
Lophodermium Twig,Lophodermium Twig,Other,,1,MOGUL,Review needed - unclear target type,,,,,
Lophodermium Twig Blight,Blight,Disease,,45,Avalaire Azoxy + Difen; A225.09; Abound Flowable Fungicide; A253.09; A225.08,,,,,,
Lophodermium twig blight,Blight,Disease,,4,NUP-12103 Fungicide; A253.03; A253.07; NUP-08099,,,,,,
Lotus,Lotus,Other,,1,LIBERTY CLOP,Review needed - unclear target type,,,,,
Lovegrass,Grasses,Weed,,8,Prodiamine Pro F 0.20% Herbicide,,,,,,
Lovegrass (from seed),Grasses,Weed,,5,FreeHand 1.75G Herbicide,,,,,,
Lovegrass species,Grasses,Weed,,10,F7127 SE HERBICIDE,,,,,,
ltalian,ltalian,Other,,8,KERB 3.3 SC,Review needed - unclear target type,,,,,
Lucerne Moths,Caterpillars/Moths,Insect,,4,Ortho ZBP Granules,,,,,,
Ludwigia decurrens,Ludwigia decurrens,Other,,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Lygocoris Bug,Lygocoris Bug,Insect,,2,Imidan 50-WSB; Imidan 70-W Agricultural Insecticide,,,,,,
Lygus,Lygus,Other,,70,A122.01™; Aerosol NEU1161 RTU; Danitol 2.4 EC Spray; AX-NOVAL; Arena 50 WDG Insecticide,Review needed - unclear target type,,,,,
Lygus (plant bugs),Lygus (plant bugs),Insect,,7,ACENTHRIN INSECTICIDE,,,,,,
Lygus Bug,Lygus Bug,Insect,,141,Bonide® RTU Vegetable & Ornamental Insect Spray; BONIDE® HORTICULTURAL AND DORMANT SPRAY OIL; 0.3% Bifenthrin Liquid Concentrate; BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE; Ax Zeta-Cyper 915,,,,,,
Lygus bug,Lygus bug,Insect,,72,Bonide Lambda 0.5% Concentrate; Centric 40WG; Baythroid XL; Baythroid 2 Emulsifiable Pyrethroid Insecticide; Damoil Dormant & Summer Spray Oil,,,,,,
lygus bug,lygus bug,Insect,,1,Dinotefuran 0.5% Ornamental and Vegetable RTU,,,,,,
Lygus bug (plant bug),Lygus bug (plant bug),Insect,,6,Bonide Delta Dust; Battalion™ 1.5 EC Insecticide; Green Light Many Purpose Dust; Battalion 0.2 EC Insecticide; Decis 100 EC Insecticide,,,,,,
Lygus Bug (suppression),Lygus Bug (suppression),Insect,,1,Actara 240 SC,,,,,,
Lygus Bug species,Lygus Bug species,Insect,,46,Bonide FT09; Avalaire Lambda-Cy 1 EC; A115.04; AX LAMBDA-CY CRI; A115.02,,,,,,
Lygus bug species,Lygus bug species,Insect,,2,AZ Lambda 2ME,,,,,,
lygus bug species,lygus bug species,Insect,,2,LIBERTY LAMBDA 2 ME,,,,,,
Lygus Bug spp.,Lygus Bug spp.,Insect,,26,Lambda Cyhalothrin 12.7% EC; CSI Lambda 1EC; Lambda Cyhalothrin 11.4% EC; Adama Lambda CY VC 223; Actylis Lambda-Cy Insecticide,,,,,,
Lygus bug spp.,Lygus bug spp.,Insect,,4,Drexel L-C Insecticide; Sharda Gamma-Cyhalothrin 14.40% CS,,,,,,
lygus bug spp.,lygus bug spp.,Insect,,4,DECLARE; CHA 1550-03,,,,,,
Lygus Bugs,Lygus Bugs,Insect,,58,A198.01; A122.03; A198.03; ADA 11280 Insecticide; A122.05,,,,,,
Lygus bugs,Lygus bugs,Insect,,82,Acti-Min FE; A122.01™; Carbaryl 4L; Bonide Eight Insect Control Yard & Garden Ready To Spray; Bonide Eight Insect Control Concentrate,,,,,,
lygus bugs,lygus bugs,Insect,,4,Fyfanon 57% EC; Tundra EC; NOFLY™ WP,,,,,,
Lygus bugs (plant bugs),Lygus bugs (plant bugs),Insect,,1,ULTRATEC DUST INSECTICIDE,,,,,,
Lygus sp.,Lygus sp.,Other,,2,F6126 EW Insecticide; HERO Insecticide,Review needed - unclear target type,,,,,
Lygus Species,Lygus Species,Other,,18,HERO Insecticide; Bifenthrin 17.15 FC; F6126 EW Insecticide; A110.04; Sniper LFR,Review needed - unclear target type,,,,,
Lygus species,Lygus species,Other,,47,Liberty Bifen SC; F4120-1; Capture LFR Soil Insecticide; AX BIFEN LFR FC; Kilter Insecticide,Review needed - unclear target type,,,,,
Lygus spp,Lygus spp,Other,,11,AgSaverTM Bifenthrin 2EC,Review needed - unclear target type,,,,,
Lygus Spp.,Lygus Spp.,Other,,2,Liberty Bifen SC; BIFEN 2EC AG INSECTICIDE/MITICIDE,Review needed - unclear target type,,,,,
Lygus spp.,Lygus spp.,Other,,316,ACETO BIFENTHRIN 2 EC; ACENTHRIN INSECTICIDE; A110.08; A110.03; A110.05,Review needed - unclear target type,,,,,
lygus spp.,lygus spp.,Other,,3,Tundra EC,Review needed - unclear target type,,,,,
Lygus spp. Plant Bugs,Lygus spp. Plant Bugs,Insect,,1,Fanfare 2EC,,,,,,
Lygus/Plant Bug,Lygus/Plant Bug,Insect,,3,Arena 50 WDG Insecticide; Sharda Clothianidin 23% SC (CRASH SC); V-10170 2.13 SC Insecticide,,,,,,
Lygus/Plant Bugs,Lygus/Plant Bugs,Insect,,20,Sharda Clothianidin 50% WDG; Arena 50 WDG Insecticide; Sharda Clothianidin 23% SC (CRASH SC); V-10170 2.13 SC Insecticide,,,,,,
Lyriomyza Leafminers,Leafminers,Insect,,1,F9318,,,,,,
Lyside Sulphur,Lyside Sulphur,Other,,1,Tempo Concentrate Insecticide,Review needed - unclear target type,,,,,
Lysimachia terrestris,Lysimachia terrestris,Other,,1,Rotam Mesotrione 480 SC,Review needed - unclear target type,,,,,
M. fructicola),M. fructicola),Other,,8,HELMSTAR PLUS SC; TEBUCON 45 DF FUNGICIDE,Review needed - unclear target type,,,,,
M. laxa,M. laxa,Other,,8,PHC 25279,Review needed - unclear target type,,,,,
M. laxa),M. laxa),Other,,8,PHC 25279,Review needed - unclear target type,,,,,
Macadamia Felted Coccid,Macadamia Felted Coccid,Other,,3,PREV-AM ULTRA,Review needed - unclear target type,,,,,
Macadamia Nut Borer,Macadamia Nut Borer,Insect,,34,CheckMate OFM-SL+; CIDETRAK CMDA+OFM MESO; CIDETRAK® CM-OFM COMBO; CheckMate OFM-F,,,,,,
Macadamia nut borer,Macadamia nut borer,Insect,,49,CheckMate OFM-SL+I; Cidetrak OFM-L; CheckMate OFM Dispenser; CIDETRAK® OFM MEC; CheckMate® OFMI,,,,,,
Macadamia nut borer (Cryptophlebia ambrodelta),Macadamia nut borer (Cryptophlebia ambrodelta),Insect,,13,CIDETRAK® OFM,,,,,,
Macadamia nut stink bug species,Macadamia nut stink bug species,Insect,,2,AZ Lambda 2ME,,,,,,
macadamia nut stink bug species,macadamia nut stink bug species,Insect,,2,LIBERTY LAMBDA 2 ME,,,,,,
Macrophoma Rot,Rot Diseases,Disease,,6,Zorda WG Biological Fungicide,,,,,,
Macrophoma rot,Rot Diseases,Disease,,1,Serifel Biofungicide,,,,,,
Macrophomina,Macrophomina,Other,,4,TRI-CON 80/20; Tri-Con 45/55; Pic-Brom 67,Review needed - unclear target type,,,,,
Macrophomina phaseolina,Macrophomina phaseolina,Other,,3,Thydra,Review needed - unclear target type,,,,,
Macrophomina phaseolina (Charcoal rot),Rot Diseases,Disease,,22,MBI-601 EP,,,,,,
Macrophomina spp.,Macrophomina spp.,Other,,43,CH2970/CH3000; QST 713 FS; TRI-CON 57/43; MYCOSTOP Biofungicide; SERENADE ASO,Review needed - unclear target type,,,,,
Maggot,Maggot,Insect,,1,Dimethoate 2.67 EC,,,,,,
Maggots,Maggots,Insect,,74,Allityn Insect Repellent; BIFENTURE 10DF Insecticide/Miticide; Aerosol NEU1161 RTU; A110.03; Athena Insecticide,,,,,,
maggots,maggots,Insect,,1,Agrisolutions Dimate 4E,,,,,,
Maintain and extend fruiting capacity,Maintain and extend fruiting capacity,Other,,1,GA3 20%,Review needed - unclear target type,,,,,
Maintain and extend high fruiting capacity,Maintain and extend high fruiting capacity,Other,,1,FAL 436,Review needed - unclear target type,,,,,
Maintain fruiting capacity,Maintain fruiting capacity,Other,,1,N-LARGE,Review needed - unclear target type,,,,,
Maintain fruiting capacity and reduce blind nodes,Maintain fruiting capacity and reduce blind nodes,Other,,1,GibGro 20% Powder,Review needed - unclear target type,,,,,
Maintain high fruiting capacity,Maintain high fruiting capacity,Other,,2,GibGro® 4LS; REPAR GIBB 4% PGR,Review needed - unclear target type,,,,,
Maintain/extend high fruiting capacity,Maintain/extend high fruiting capacity,Other,,1,Falgro 4L,Review needed - unclear target type,,,,,
Mallow,Mallow,Other,,50,F7127 SE HERBICIDE; A363.01; A229.02; A335.05; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
Malva,Malva,Other,,6,A229.02,Review needed - unclear target type,,,,,
malva,malva,Other,,15,GoalTender,Review needed - unclear target type,,,,,
Malva neglecta,Malva neglecta,Other,,9,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Maple shoot moth,Caterpillars/Moths,Insect,,2,Bonide Systemic Insect Control,,,,,,
Mapleworm,Mapleworm,Insect,,2,ACECAP Systemic Insecticide Implants,,,,,,
Marestail,Marestail,Other,,6,BIATHLON,Review needed - unclear target type,,,,,
marestail,marestail,Other,,28,Chemsico Herbicide Formula D; Quali-Pro Dithiopyr L; Dimension® 0.25G,Review needed - unclear target type,,,,,
Marestail (Horseweed),Weeds,Weed,,1,BLASTWAVE 480 SC,,,,,,
Marestail/horseweed,Weeds,Weed,,32,PRUVIN® Herbicide; A363.01; Rim 25 Herbicide,,,,,,
Margined White,Margined White,Other,,1,Tempo Concentrate Insecticide,Review needed - unclear target type,,,,,
Marsh parsley,Marsh parsley,Other,,5,FreeHand 1.75G Herbicide,Review needed - unclear target type,,,,,
Marshelder,Marshelder,Other,,12,A313.01; Comet Selective Herbicide; LPI.A011; Liberty Fluroxypyr Herbicide; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
Marssonina leaf blotch/Apple blotch,Marssonina leaf blotch/Apple blotch,Other,,2,Cevya Fungicide,Review needed - unclear target type,,,,,
Mary's grass,Grasses,Weed,,8,Quali-Pro Dithiopyr L,,,,,,
Masked chafer,Masked chafer,Other,,5,Mantra 60 WSP,Review needed - unclear target type,,,,,
Masked Chafers,Masked Chafers,Other,,4,Rotam Imidacloprid 70WG Insecticide,Review needed - unclear target type,,,,,
Maturity concentration,Rats/Mice,Vertebrate,,1,Omni Brand Ethephon 2 lb,,,,,,
Maturity concentration and earlier coloring,Rats/Mice,Vertebrate,,1,Ethrel Brand Ethephon Plant Regulator,,,,,,
Maturity concentration and earlier fruit coloring,Rats/Mice,Vertebrate,,1,Nufarm Ethephon 2 Plant Growth Regulator,,,,,,
Maturity concentration and fruit loosening,Rats/Mice,Vertebrate,,1,Ethrel Brand Ethephon Plant Regulator,,,,,,
Maximize berry size and harvest delay,Maximize berry size and harvest delay,Other,,1,ABG-3207 Plant Growth Regulator,Review needed - unclear target type,,,,,
Maximum fruit size increase,Maximum fruit size increase,Other,,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Maximum size increase and maturity delay,Maximum size increase and maturity delay,Other,,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
May improve grade,May improve grade,Other,,4,Royal MH-30 XTRA,Review needed - unclear target type,,,,,
May/June Beetle,Beetles,Insect,,1,VCP-030,,,,,,
May/June beetle,Beetles,Insect,,4,Sniper LFR; Liberty PY-BIF; Sniper,,,,,,
May/June Beetle (Adult White Grub),Beetles,Insect,,1,A110.08,,,,,,
May/June Beetle (Adult),Beetles,Insect,,1,VCP-03 1.75 SC Insecticide,,,,,,
May/June Beetle (White Grub),Beetles,Insect,,1,Avalaire Bifen FC,,,,,,
May/June Beetles,Beetles,Insect,,3,A110.05; Bifenthrin 2E; Fanfare 2 SC Insecticide/Miticide,,,,,,
May/June beetles,Beetles,Insect,,3,Brigade 2EC Insecticide/Miticide; BIFEN 25% EC; VKM32 insect control,,,,,,
May/June Beetles (White Grub Adults),Beetles,Insect,,1,Ridgeback,,,,,,
May/June beetles (white grubs),Beetles,Insect,,2,AX PY-BIF,,,,,,
Mayweed,Weeds,Weed,,20,F7127 SE HERBICIDE; SAUSX-01B; F9021-2 SE CAL Herbicide; Tigris Sulfen 4 SC; F9021-2 SE Herbicide,,,,,,
mayweed,Weeds,Weed,,7,Velpar® L CU; Clean Slate®; Tide Hexazinone 75 WDG; Velpar DF CU,,,,,,
Mayweed chamomile,Weeds,Weed,,7,FreeHand 1.75G Herbicide; Sulfentrazone 4SC Select ABN: Sulfentrazone 4SC Prime; BCP258H_3 HERBICIDE,,,,,,
McDaniel,McDaniel,Other,,249,Avalaire Fenazate 50 WSB; A105.01; Acramite-50WS; AX BIFENAZATE 50 WSB; A105.04,Review needed - unclear target type,,,,,
McDaniel Mite,Mites,Insect,,43,MiteO Max II EC; Vydate L; Oxamyl 24% SL; MiteO Max II; MiteO Max 6EC,,,,,,
McDaniel mite,Mites,Insect,,115,A105.02; Comite; ACRAMITE-4SC; A117.02; Avalaire Propargite,,,,,,
McDaniel Spider,McDaniel Spider,Insect,,5,Vendex 50WP Miticide,,,,,,
McDaniel Spider Mite,Mites,Insect,,156,Aceto Etoxazole 72% WDG Miticide; A134.02™; A221.01; Aceto Etoxazole 72% WP WSB Miticide; A134.04™,,,,,,
McDaniel spider mite,Mites,Insect,,179,A131.01; A131.02; A131.04; A134.01; A131.03,,,,,,
McDaniel spider mites,Mites,Insect,,2,Nufarm Abamectin 0.15 EC Insecticide,,,,,,
Mead’s Sulphur,Mead’s Sulphur,Other,,1,Tempo Concentrate Insecticide,Review needed - unclear target type,,,,,
Meadow and Pine Mice,Meadow and Pine Mice,Other,,3,WATCHGUARD Animal and Spider Repellent Concentrate,Review needed - unclear target type,,,,,
Meadow jumping mice,Meadow jumping mice,Other,,1,Zinc Phosphide in Oat Pellets,Review needed - unclear target type,,,,,
Meadow Jumping Mouse,Rats/Mice,Vertebrate,,2,Force's Mous-Con No.2; ZP Rodent Oat Bait AG,,,,,,
Meadow jumping mouse,Rats/Mice,Vertebrate,,1,WILCO ZINC AG BAIT,,,,,,
Meadow Spittlebug,Meadow Spittlebug,Insect,,174,A198.01; A198.03; A115.04; A115.02; Actylis Lambda-Cy Insecticide,,,,,,
Meadow spittlebug,Meadow spittlebug,Insect,,66,Bonide Lambda 0.5% Concentrate; Baythroid XL; AZ Lambda 2ME; A177.04; Baythroid 2 Emulsifiable Pyrethroid Insecticide,,,,,,
meadow spittlebug,meadow spittlebug,Insect,,12,LIBERTY LAMBDA 2 ME; CHA 1525-03; DECLARE; CHA 1550-03,,,,,,
Meadow Spittlebugs,Meadow Spittlebugs,Insect,,6,Chemsico Insecticide Concentrate 22L; Sharda Lambda-Cyhalothrin 120 EC,,,,,,
Meadow spittlebugs,Meadow spittlebugs,Insect,,1,Drexel Carbaryl 4L,,,,,,
meadow spittlebugs,meadow spittlebugs,Insect,,1,Hi-Yield,,,,,,
Meadow Vole,Meadow Vole,Vertebrate,,49,ZP Rodent Oat Bait AG; Ramik green AG; Ramik® Brown,,,,,,
Meadow vole,Meadow vole,Vertebrate,,16,Zinc Phosphide Concentrate; WILCO ZINC AG BAIT,,,,,,
Meadow voles,Meadow voles,Vertebrate,,4,ORCHARD MOUSE BAIT,,,,,,
Meadow voles (Microtus pennsylvanicus),Rot Diseases,Disease,,2,Zinc Phosphide on Oats,,,,,,
Meadow-sweet,Meadow-sweet,Other,,5,Velpar® L CU; Tide Hexazinone 75 WDG; Velpar DF CU,Review needed - unclear target type,,,,,
Mealy Bug,Mealy Bug,Insect,,14,Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC; PREV-GARD; PREV-AM ULTRA,,,,,,
Mealy bug,Mealy bug,Insect,,19,QRD 452 (Requiem EC); CINNACURETM A300S; Imidacloprid Plus Bifenthrin 1 + 1 SC; M-97-009 Kaolin; Brigadier Insecticide,,,,,,
mealy bug,mealy bug,Insect,,2,Acti-Min FE; Surround WP Agricultural Crop Protectant,,,,,,
Mealy Bugs,Mealy Bugs,Insect,,47,Bonide Home Pest Insect Killer; Allityn Insect Repellent; CINNACURETM A300S; A145.01; AzaGuard,,,,,,
