Original_Target,Count,Examples,Suggested_Simplified_Target,Target_Type,Notes
Improved fruit set,4,First-Up RST; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,,,
Improved fruit set and increased berry size,1,Tide Forchlorfenuron 0.8 SL PGR,,,
Improved fruit size,1,Novagib 10L,,,
Improving fruit set following freeze damage,1,Perlan,,,
Improving type and size of fruit,5,Perlan,,,
Inchworms,22,Bonide Permakil 25; Ecto B715 Insecticide; Ecto B736 Insecticide; Chemsico Lawn Insect Spray; Bonide Eight Insect Control Yard & Garden Ready To Spray,,,
Increase Fruit Size,4,Hivol-44,,,
Increase berry set,2,ABG-3207 Plant Growth Regulator,,,
Increase berry size,10,GA3 20%; Sitofex® Plant Growth Regulator; Sitofex Plant Growth Regulator; ProGibb 4% Plant Growth Regulator Solution; ABG-3207 Plant Growth Regulator,,,
Increase berry size and cluster size,1,ProGibb Plus 2X Plant Growth Regulator,,,
Increase berry size with minimal harvest delay,2,ABG-3207 Plant Growth Regulator,,,
Increase cluster length and improve air circulation,1,ProGibb 4% Plant Growth Regulator Solution,,,
Increase dormant bud hardiness and delay bloom,1,Ethephon 2SL,,,
Increase dormant bud hardiness and delay spring bloom,1,Nufarm Ethephon 2 Plant Growth Regulator,,,
Increase fruit retention,10,Foliar TRIGGRR,,,
Increase fruit set,14,N-LARGE; ProGibb Plus 2X Plant Growth Regulator; REPAR GIBB 4% PGR; ReTain Plant Growth Regulator Soluble Powder; ReTain,,,
Increase fruit set and growth,1,GA3 20%,,,
Increase fruit set and promote fruit growth,3,N-LARGE Premier; GibGro 20% Powder; GibGro® 4LS,,,
Increase fruit set and yield,1,ProGibb 4% Plant Growth Regulator Solution,,,
Increase fruit set and yields,1,GA3 20%,,,
Increase fruit size,8,GibGro 20% Powder; GA3 20%; FAL 436; GibGro® 4LS; N-LARGE,,,
Increase fruit size and quality,1,REPAR GIBB 4% PGR,,,
Increase juice extraction yield,1,ProGibb 4% Plant Growth Regulator Solution,,,
Increase leaf initiation & growth,6,Foliar TRIGGRR,,,
Increase length of lateral bloom pedicels,2,FAL 477; ProVide 10 SG Plant Growth Regulator Water Soluble Granule,,,
Increase nut set,5,ReTain Plant Growth Regulator Soluble Powder; ReTain,,,
Increase production of runners,1,FAL 436,,,
Increase runner production,9,GibGro 20% Powder; GA3 20%; N-LARGE Premier; GibGro® 4LS; N-LARGE,,,
Increased Fruit Number,25,Soil TRIGGRR,,,
Increased berry size,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,,,
Increased dormant bud hardiness and bloom delay,1,Liberty Ethephon 21,,,
Increased dormant bud hardiness and delayed bloom,1,Ethrel Brand Ethephon Plant Regulator,,,
Increased early marketable yield,17,Sunaider,,,
Increased flower bud development,2,Nufarm Ethephon 2 Plant Growth Regulator; Liberty Ethephon 21,,,
Increased flower bud development (bearing trees),1,Ethrel Brand Ethephon Plant Regulator,,,
Increased flower bud development (non-bearing trees),1,Ethrel Brand Ethephon Plant Regulator,,,
Increased fruit retention,4,Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,,,
Increased fruit retention and yield,2,Tide Forchlorfenuron 0.8 SL PGR,,,
Increased fruit size,4,ProVide 10 SG Plant Growth Regulator Water Soluble Granule; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator; Accel Plant Growth Regulator Solution,,,
Increased fruit size and yield,1,Tide Forchlorfenuron 0.8 SL PGR,,,
Increased runner production,1,First-Up RST,,,
Increased yield,4,Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,,,
Increased yield per acre,2,Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,,,
Increased yields,5,CYTEX,,,
Increasing branching and feathering,5,Exilis Plus,,,
Indian,15,Avalaire Metribuzin 4 F; Bar 750 DF; A342.01; AVALAIRE METRIBUZIN 75 DF; A342.02,,,
Indian Meal Moth,3,Diafil® 610,,,
Indian Meal Moths,58,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; LN 1% PY; Entech Fog-10 Space Spray; CT-55 Dairy Aerosol,,,
Indian Mustard,5,METRIBUZIN 4L; TIGRIS MTZ 4 F,,,
Indian meal moth,20,CIDETRAK® IMM MEC; Cidetrak IMM; METH-O-GAS® Q; Metabrom 100; Meth-O-Gas 100,,,
Indian meal moths,3,DY-FLY Dairy Aerosol; Envi EC-X Emulsifiable Concentrate Insecticide,,,
Indian mustard,7,Sencor DF 75% Dry Flowable Herbicide; METRI DF; Metribuzin 75; Metribuzin 4L; Glory,,,
Indianmeal Moths,10,TC-123 Insecticide; MGK AgriPest Cropfume P-H with Pyrethrins/PBO; A145.01,,,
Indianmeal moth,3,HERCON® DISRUPT® IMM HA MATING DISRUPTANT,,,
Initiate berry growth,1,ProGibb Plus 2X Plant Growth Regulator,,,
Initiation of berry growth,1,ProGibb 4% Plant Growth Regulator Solution,,,
Ink Spot,12,Chipco 26019 Fungicide; IPRODIONE 50WP T&O; IPRODIONE 2SE TURF; IPRODIONE 50EG T&O,,,
Ink spot,9,26/36 Fungicide; Dovetail,,,
Insect pests,108,Bifenthrin 0.115% Granule Insecticide; GreeNeem Neem Oil 100% Cold Pressed; BIOGARD CONCENTRATE; Aloft EC G Insecticide; DEBUG® TURBO,,,
Insect pests including aphids,1,Trilogy XL-O Fungicide/Miticide/Insecticide,,,
Insects,184,A894.01; ECO2FUME FUMIGANT GAS; Ecoworks EC; Ally 33; DEBUG®-ON,,,
Insects (all life stages),5,IGI Carbon Dioxide,,,
Insects and Mites,2,TNO70 Broad Spectrum,,,
Insects and mites,42,Prentox PBO-8; Neem Oil Concentrate 70,,,
Insects in soil,3,MBC Concentrate Soil Fumigant,,,
Insects which infest stored commodities,18,Phostoxin Prepac Rope; DETIA® FUMEX,,,
Insects/Mites,19,Sulfur/Pyrethrins Fungicide/Insecticide,,,
Intermediate fruit size increase,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,,,
Intermediate size increase with intermediate maturity delay,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,,,
Intermediate size increase with minimum maturity delay,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,,,
Introduced basswood thrips,3,Tempo Concentrate Insecticide,,,
Invading woody plants,1,"2,4-D Ester 4",,,
Ipomoea coccinea,8,F6285 4F CAL Herbicide,,,
Ipomoea hederacea hederacea,10,F6285 4F CAL Herbicide; Zone Defense,,,
Ipomoea hederacea integriuscula,12,F6285 4F CAL Herbicide,,,
Ipomoea purpurea,8,F6285 4F CAL Herbicide,,,
Ipomoea turbinata,8,F6285 4F CAL Herbicide,,,
Ipomoea wrightii,8,F6285 4F CAL Herbicide,,,
Iris Whitefly,1,Danitol 2.4 EC Spray,,,
Ironweed,9,OBTAIN 40% WDG Herbicide; A313.01; Comet Selective Herbicide; LPI.A011; Liberty Fluroxypyr Herbicide,,,
Italian,11,Willowood Pronamide 3.3SC; BLASTWAVE 480 SC; Velpar® L CU,,,
Italian (annual),2,Velpar DF CU,,,
Italian Pear Scale,138,IAP 440 Spray Oil; AX PYRIPROXYFEN 35 WSB; Britz 415 Supreme Spray Oil; Britz Supreme Spray Oil; HI Supreme Spray Oil,,,
Italian Pear Scale (Summer forms),1,JMS STYLET-OIL,,,
Italian Pear Scale crawlers,2,PureSpray Green,,,
Italian Scale,19,Avalaire Pyriprox 0.86 EC; Esteem 35 WP; A118.02; AVALAIRE PYRIPROXYFEN 0.86 EC; KNACK Insect Growth Regulator,,,
Italian pear scales,11,Soydorm Oil; Damoil Supreme; Damoil Dormant & Summer Spray Oil,,,
Italian ryegrass,7,Tide Hexazinone 75 WDG; FreeHand 1.75G Herbicide,,,
Itchgrass,13,FreeHand 1.75G Herbicide; Prodiamine Pro F 0.20% Herbicide,,,
Ivyleaf,9,Metribuzin 27% + Sulfentrazone 18% WG; Sharda Metribuzin 27% + Sulfentrazone 18% DF; Avalaire Fomesafen 1.88 SL; Reflex® Herbicide; IMAZETHAPYR 240 SL,,,
Ivyleaf Morningglory,1,WILLOWOOD FOMESAFEN 1.88 SL,,,
Ivyleaf morningglory,1,Zone Defense,,,
Jacket Rot,95,Avalaire T-Methyl 70 WSP; ADAMENT 50 WG Fungicide; AX TFM 4.5 FL; Armour-Zen; Avalaire T-Methyl 4.5F,,,
Jacket Rot (Botrytis cinerea,8,PHC 25279,,,
Jacket Rot (Green Fruit Rot),4,STK-73,,,
Jacket Rot (Monilinia,1,Quali-Pro™ 4.5,,,
Jacket Rot / Green Fruit Rot Disease Complex,3,Zorda WG Biological Fungicide,,,
Jacket Rot/Green Fruit Rot,12,Milagrum Plus; DISTINGUISH 480 SC FUNGICIDE; BACIX,,,
Jacket rot,58,ADA 76901; Captan 4L; Axios Cion; A201.04; A201.06,,,
Jacket rot (Green fruit rot),4,Scala Brand SC Fungicide,,,
Jacquemontia tamnifolia,8,F6285 4F CAL Herbicide,,,
Japanese Bean Beetles,6,Ortho Malathion 50 Insect Spray,,,
Japanese Beetle,713,A122.03; A115.04; A110.04; A110.08; A115.02,,,
Japanese Beetle (Adult),99,A115.04; A110.08; A110.03; A110.05; A115.02,,,
Japanese Beetle (Adults Feeding on Foliage),1,VCP-034,,,
Japanese Beetle (Adults),9,Sharda Bifen. 11.25% + Zeta-Cyper. 3.75% EC; Ridgeback; Bifenthrin 2E; Midac FC; Sharda Bifen. 9.72% + Zeta-Cyper. 3.24% EC,,,
Japanese Beetle (Grubs),1,AX BIFEN LFR FC,,,
Japanese Beetle (Larvae),1,Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC,,,
Japanese Beetle (adult),22,ACETO BIFENTHRIN 2 EC; Bifenthrin 25.1% EC; A198.01; A198.03; Brigade WSB Insecticide/Miticide,,,
Japanese Beetle (adults),8,LADA 2F INSECTICIDE; Rotam Imidacloprid 70WG Insecticide,,,
Japanese Beetle (grubs),1,ACETO BIFENTHRIN 2 EC,,,
Japanese Beetle (suppression),4,Tetraniliprole SC 200 Insecticide AG; F4260-1 Insecticide,,,
Japanese Beetle Adult,6,Brigade 2EC Insecticide/Miticide; BIFEN 2EC AG INSECTICIDE/MITICIDE; Voliam Flexi®,,,
Japanese Beetle Adults,8,Fanfare 2 SC Insecticide/Miticide; Discipline 2EC; AgSaverTM Bifenthrin 2EC; FG14002-80; 2016BIFENTHRIN,,,
Japanese Beetle Grub,1,VCP-030,,,
Japanese Beetle Grubs,21,Argyle Insecticide; BIFEN 2EC AG INSECTICIDE/MITICIDE; 2016BIFENTHRIN; A110.05; Bifen 2EC Select Insecticide,,,
Japanese Beetles,202,AgriDiatomSil; 0.5% PERMETHRIN AEROSOL SPRAY; Arena 50 WDG Insecticide; Assault II; 887 Multi-Use Insecticide Spray,,,
Japanese Beetles (Adult),1,Sharda Imidacloprid 11.3% + Bifenthrin 11.3% SC,,,
Japanese Beetles (Adults),8,Sharda Lambda-Cyhalothrin 120 EC; BIFENTURE 10DF Insecticide/Miticide; Liberty Bifen SC; A110.03; Sharda Bifenthrin 17.15% LFC,,,
Japanese Beetles (adult),1,Bifenthrin 25.1% EC,,,
Japanese Beetles Adults,2,Bifenthrin 2EC; GCS Bifenthrin LFC,,,
Japanese beetle,430,Acti-Min FE; A197.05; A171.06™; A177.04; Admire® 2 Flowable Insecticide,,,
Japanese beetle (adult),70,ACETO BIFENTHRIN 2 EC; Aceto Bifenthrin 2E; Advise 2FL; Altacor Insect Control; Athena Insecticide,,,
Japanese beetle (adults,3,Willowood Imidacloprid 2SC; Imi 0.235; TRIMAX Insecticide,,,
Japanese beetle (adults),26,Imidacloprid 70DF; Couraze 4 Insecticide; LAMBDA 0.002% READY TO USE; Dominion 4 LB; Equil Imi 4F Insecticide,,,
Japanese beetle (grubs),1,Sniper,,,
Japanese beetle (larvae),6,Liberty Imidacloprid Bifenthrin; Liberty BIFEN-IMIDA 2-1 SC; Brigadier HPG Insecticide; SKYRAIDER; Brigadier Insecticide,,,
Japanese beetle adults,11,Super K-GRO Malathion 50 Insect Spray; Tolfenpyrad 15EC Insecticide; SEVIN,,,
Japanese beetle and Oriental beetle),1,TRIMAX Insecticide,,,
Japanese beetle grubs,12,Liberty Bifen FC; Capture LFR Soil Insecticide; F4120-1; Brigade 2EC Insecticide/Miticide; BIFEN 25% EC,,,
Japanese beetle larvae,4,VST-006330 EP,,,
Japanese beetles,218,AmTide Imidacloprid 2F T&O; Avalaire Imidacloprid 2 SC; AmTide Imidacloprid 75% WDG Insecticide; A171.06™; AmTide Imidacloprid 2F Insecticide,,,
Japanese beetles (Adults),2,LAMBDA 0.5% CONCENTRATE; Dominion 1.47% Plus Lambda 0.5% Liquid,,,
Japanese beetles (adult),6,Liberty Imidacloprid Bifenthrin; Liberty BIFEN-IMIDA 2-1 SC; SKYRAIDER; Imidacloprid Plus Bifenthrin 1 + 1 SC; Brigadier Insecticide,,,
Japanese beetles (adults),20,A171.13; LADA 1.0G Nursery Insecticide; Mallet®2F T&O Insecticide; Chemsico Insecticide Concentrate 16L; Merit 2 Greenhouse and Nursery Insecticide,,,
Japanese beetles adults,1,Capture 2EC Insecticide/Miticide,,,
Jerusalem artichoke,1,LIBERTY CLOP,,,
Jim Hill,3,Omni Brand Metribuzin 4SC; Velpar® L CU,,,
Jim Hill (tumble),2,Velpar DF CU,,,
Jimsonweed,130,Avalaire Clopyralid 3 SL; A342.01; A339.01; A342.02; A335.05,,,
Joe-Pye-Weed,1,LIBERTY CLOP,,,
Johnsongrass,57,Aceto Sulfosulfuron 75% WDGB Herbicide; A374.01; A363.01; Aceto Sulfosulfuron 75WDG Herbicide; A342.02,,,
Johnsongrass (from seed),13,FreeHand 1.75G Herbicide; Prodiamine Pro F 0.20% Herbicide,,,
Johnsongrass (seedling),14,TIGRIS MTZ 4 F; Metribuzin 4L; Rim 25 Herbicide,,,
Johnsongrass seedling,2,Sharda Metribuzin 75% DF; Willowood Clomazone 3ME,,,
Jointed goatgrass,11,Battalion Pro,,,
Jointvetch,2,V-10142 Ag Herbicide,,,
Juncus spp.,1,Rotam Mesotrione 480 SC,,,
June Beetle,142,Adama Lambda CY VC 223; Avalaire Lambda-Cy 1 EC; A115.04; Argyle Insecticide; A115.02,,,
June Beetle (Adult),4,Karate Insecticide with Zeon Technology,,,
June Beetle Grubs,1,Bifenthrin 2E,,,
June Beetle species,50,Avalaire Lambda-Cy 1 EC; A115.04; AX LAMBDA-CY CRI; A115.02; Cyhella Insecticide,,,
June Beetle spp.,22,Lambda Cyhalothrin 12.7% EC; CSI Lambda 1EC; Lambda Cyhalothrin 11.4% EC; Adama Lambda CY VC 223; Actylis Lambda-Cy Insecticide,,,
June Beetles,12,ACETO BIFENTHRIN 2 EC; Discipline 2EC; FG14002-80; Besiege Insecticide; 2016BIFENTHRIN,,,
June beetle,59,Acti-Min FE; Brigadier HPG Insecticide; AZ Lambda 2ME; Brigade 2EC Insecticide/Miticide; BIFEN 25% EC,,,
June beetle (adult),1,Brigadier HPG Insecticide,,,
June beetle species,3,LIBERTY LAMBDA 2 ME; Bonide FT09; AZ Lambda 2ME,,,
June beetle spp.,4,Drexel L-C Insecticide; DECLARE; Sharda Gamma-Cyhalothrin 14.40% CS,,,
June beetles,9,Bonide Lambda 0.5% Concentrate; SEVIN 80 Solupak; Sevin XLR PLUS Carbaryl Insecticide; Carbaryl 4L; Sharda Bifenthrin 2E,,,
June beetles (Adults),2,LAMBDA 0.5% CONCENTRATE; Dominion 1.47% Plus Lambda 0.5% Liquid,,,
June beetles (adults),3,Chemsico Insecticide Concentrate 16L; LAMBDA 0.002% READY TO USE,,,
June drop,2,A573.01; Avalaire Prohex 27.5 WDG,,,
Junglerice,37,F7127 SE HERBICIDE; LIBERTY X-METCHLORBUZIN; LPI.A014; A335.05; FreeHand 1.75G Herbicide,,,
KOA Seedworm,8,CIDETRAK CMDA+OFM MESO,,,
Kangaroo Rats,2,Prozap Zinc Phosphide Pellets; ZP Rodent Bait AG,,,
Katydid,82,A197.05; A198.01; A167.08; A198.03; A177.04,,,
Katydid (Nymphs),5,Sharda Indoxacarb 30% WDG,,,
Katydid (nymphs),27,E2Y45-848 insect control; Altacor Insect Control; EXCELIPROLE 4SC; AVAUNT; Chlorantraniliprole 47.85SC Insecticide,,,
Katydid Grasshoppers,2,LPI.A045,,,
Katydid nymphs,5,Altus; FDF 50 SL Concentrate; AVAUNT® eVo insect control,,,
Katydids,132,A167.02; Ax Diflu WSG; Avalaire Diflubenzuron 2 L; Aerosol NEU1161 RTU; Agri-Flex Miticide/Insecticide,,,
Kentucky,18,Willowood Pronamide 3.3SC; KERB 3.3 SC,,,
Kentucky (perennial),4,Velpar DF CU; Velpar® L CU,,,
Kentucky bluegrass,2,Tide Hexazinone 75 WDG,,,
Kernel Rot,26,Biorend Cu; AG Copp 75; Champ Dry Prill; Badge SC; Badge X2,,,
Kernel Rot (Phytophthora cactorum),1,GWN-4620,,,
Kernel rot,9,ET-F; ALONGLIFE™; Agri-Life; Carb-O-Nator; Karbicure 85 SG,,,
Kernel rot (Phytophthora cactorum),1,KOP-OXY 85,,,
Khapra Beetle,1,VAPORPH3OS® Phosphine Fumigant,,,
Khapra Beetles,4,Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray,,,
Khapra beetle,1,Metabrom 100,,,
Kikuyu Grass,6,BIATHLON,,,
Knotweed,31,F7127 SE HERBICIDE; BLASTWAVE 480 SC; A229.02; Liberty Fluroxypyr Herbicide; IMAZETHAPYR 240 SL,,,
Knotweed prostrate,1,Sulfentrazone 4SC Select ABN: Sulfentrazone 4SC Prime,,,
Knotweed spp.,10,LIBERTY X-METCHLORBUZIN; LPI.A014; A335.05,,,
Koa Seedworm,26,CheckMate OFM-SL+; CIDETRAK® CM-OFM COMBO; CheckMate OFM-F,,,
Koa seedworm,49,CheckMate OFM-SL+I; Cidetrak OFM-L; CheckMate OFM Dispenser; CIDETRAK® OFM MEC; CheckMate® OFMI,,,
Koa seedworm (Cryptophlebia illepida),13,CIDETRAK® OFM,,,
Kochia,138,A363.01; A313.01; A342.01; Avalaire Metribuzin 4 F; A342.02,,,
Kochia (ALS and Triazine Resistant),13,F7127 SE HERBICIDE; RIGHTLINE SULFENCORE; F9021-2 SE CAL Herbicide; F6482 45DF Herbicide; F9021-2 SE Herbicide,,,
Kochia (ALS and Triazine resistant),15,LPI.A003; F7488-1 Herbicide; A308.10; A308.04; SAUSX-01B,,,
Kochia (ALS- and Triazine-Resistant),4,Metribuzin 27% + Sulfentrazone 18% WG; Sharda Metribuzin 27% + Sulfentrazone 18% DF,,,
Kochia (non-ALS resistant),3,IMAZETHAPYR 240 SL,,,
Kochia (suppression),6,A335.05,,,
Kochia scoparia,8,F6285 4F CAL Herbicide,,,
Kudzu Bug,2,Argyle Insecticide; Ridgeback,,,
Kudzu bug,1,Sniper,,,
Kudzu bugs,1,LAMBDA 0.5% CONCENTRATE,,,
Kyllinga species,5,FreeHand 1.75G Herbicide,,,
Lacanobia,2,SURROUND CF AGRICULTURAL CROP PROTECTANT,,,
Lacanobia Fruitworm,9,AX-NOVAL; A122.03; ADA 11280 Insecticide; A122.05; Sharda Indoxacarb 30% WDG,,,
Lacanobia fruitworm,9,AVAUNT® eVo insect control; A197.05; A122.01™; AVAUNT; Enkounter Insecticide,,,
Lace Bags,1,LN 1% PY,,,
Lace Bug,9,ORTHENE 97 PELLETS; ACECAP Systemic Insecticide Implants,,,
Lace Bugs,154,Aerosol NEU1161 RTU; 0.5% PERMETHRIN AEROSOL SPRAY; Assault II; 887 Multi-Use Insecticide Spray; 0.3% Bifenthrin Liquid Concentrate,,,
Lace bug,1,Gordon's Chemicals Permanone General Purpose Aqueous Insecticide II,,,
Lace bugs,181,AmTide Imidacloprid 2F T&O; Bonide Lambda 0.5% Concentrate; A171.13; Bane 75 WSP; A24902A Conc,,,
Lacebug,36,Bifen 0.3% Concentrate; Bifenthrin RTU,,,
Lacebugs,93,IMA-jet 10%; Bonide Systemic Insect Control; Arena 0.25 G Insecticide; F6141 EW Insecticide; IMI 2 LB Greenhouse & Nursery Insecticide,,,
Laconobia,2,Proclaim Insecticide,,,
Laconobia fruitworm,5,Confirm® 70 WSP Insecticide; Success; Radiant SC,,,
Laconobia fruitworm species,2,A152.03,,,
Lacy (russet),1,Ensign 720 Flowable Fungicide,,,
Lacy (russet) Scab,1,PEGASUS 6L,,,
Lacy (russet) scab,11,Applause DF Fungicide; Terranil™ 900F WSP; SA 50 Liquid Ornamental and Vegetable Flowable Fungicide,,,
Lacy Scab,4,Equus 720 SST Fungicide,,,
Lacy scab,10,Bravo 825 Agricultural Fungicide; Chlorothalonil-ZN; A265.01; HMO-1601 Fungicide,,,
Lady Beetle,4,A110.04; F4120-1; Bifenthrin 17.15 FC; VCP-030,,,
Lady Beetle (Scymnus species),1,VCP-03 1.75 SC Insecticide,,,
Lady Beetle (Scymnus spp.),8,GCS Bifenthrin LFC; Capture LFR Soil Insecticide; AX BIFEN LFR FC; Bifender FC 3.1; A110.05,,,
Lady Beetle (Scymnus),1,Brigade 2EC Insecticide/Miticide,,,
Lady Bird Beetle,9,F9114 EC Insecticide; A198.01; A198.03; F9318; Ax Zeta-Cyper 915,,,
Lady beetle (Scymnus),2,Athena Insecticide; Sniper,,,
Lady bird beetle,2,F6126 EW Insecticide; HERO Insecticide,,,
Ladybeetles,5,LAMBDA 0.5% CONCENTRATE; Ortho ZBP Granules,,,
Ladysthumb,78,Avalaire Metribuzin 4 F; A342.01; AVALAIRE METRIBUZIN 75 DF; A342.02; A335.05,,,
Ladysthumb Smartweed,1,Valor WP Herbicide,,,
Ladythumb,2,LIBERTY X-METCHLORBUZIN,,,
Lady’s-thumb,2,Metribuzin 4L,,,
Lambquarters,5,A342.02,,,
Lambsquarter,17,AX Clomazone 31.3; Prodiamine Pro F 0.20% Herbicide; HYVAR X Herbicide; IMAZETHAPYR 240 SL,,,
Lambsquarters,304,A319.06; A308.10; A308.04; A229.02; A335.05,,,
Lambsquarters common,5,Sulfentrazone 4SC Select ABN: Sulfentrazone 4SC Prime,,,
Lance (Hoplolaimus spp.),20,Fluensulfone 480EC,,,
Lance nematodes,33,LALNIX ACT DC; Biostat 10% WP; DiTera ES Biological Nematicide,,,
Lantana,9,OBTAIN 40% WDG Herbicide; A313.01; Comet Selective Herbicide; LPI.A011; Liberty Fluroxypyr Herbicide,,,
Large,14,Omni Brand Metribuzin 75 WDG; DREXEL Me-Try-Buzin 4L; Metri 4F Herbicide; Omni Brand Metribuzin 4SC; IMAZETHAPYR 240 SL,,,
Large Crabgrass,25,METRIBUZIN 4L; Clomate 3ME; Willowood Clomazone 3ME; PRUVIN® Herbicide,,,
Large Orange Sulphur,1,Tempo Concentrate Insecticide,,,
Large crabgrass,56,LPI Rimsulfuron; FreeHand 1.75G Herbicide; Metribuzin 4L; Glory; Avalaire Rimsulfuron 25 SG,,,
Larger,2,GA3 20%; ProGibb 4% Plant Growth Regulator Solution,,,
Late Blight,480,A20259 Crop; A-Zox 25SC; 3 LB. COPPER FLOWABLE FUNGICIDE; A19649 Crop; A-Zox 50WDG,,,
Late Blight (Phytophthora infestans),16,OxiPhos; Vibrance Ultra Potato; MAXIPHITE Fungicide; PHC 25279,,,
Late Blight (Suppression),1,Tepera Plus Fungicide,,,
Late Blight (suppression),8,Fluoxastrobin 480 SC Fungicide; OLD BRIDGE COPPER SULFATE; TEPERA Plus HD fungicide + insecticide,,,
Late Blight Fruit Rot,3,Nufarm CTN 82.5; EQUUS DF; Equus 720 SST Fungicide,,,
Late Blight Rot,4,Hydrite PAA HP 15:22,,,
Late Leaf Spot,1,Nufarm CTN 82.5,,,
Late blight,348,A225.05; A228.03; A265.01; A253.11; 16-002-C,,,
Late blight (Alternaria alternata),1,Bonide Copper Spray or Dust,,,
Late blight (Dryland culture only),1,Bravo S,,,
Late blight (Phytophthora infestans),14,AX Fluazi-Difeno; LPI.A045; Revus Top; Avalaire Cyazofamid 400 SC; Forum Fungicide,,,
Late blight (suppression),2,Merivon Xemium Brand Fungicide; Cymoxanil 60 WDG,,,
Late blight and root rot,1,HM-0210-A,,,
Late blight disease,1,Gramoxone 3LB,,,
Late blight fruit rot,40,Barrachlor Fungicide; AVALAIRE CHLOROTHALONIL 720 F; Applause DF Fungicide; A265.01; AX CHLOROTHALONIL,,,
Late blight rot,1,CATAMARAN,,,
Late blight suppression,1,ENDORSE Water Dispersible Granules,,,
Late blight tuber rot,3,ProPhyt,,,
Late scab,1,BORDO 13 WP,,,
Late yellow rust,4,Vertisan; Fontelis,,,
Late-season broadleaf weeds,1,AX CARFENTRAZONE 21.3 EW,,,
Latent bloom reduction,1,Avalaire Prohex 27.5 WDG,,,
Lateral branching and tree development,5,TYPY Plant Growth Regulator Solution,,,
Lateral bud break and shoot growth,10,Perlan; Promalin,,,
Laurel,5,Velpar® L CU; Tide Hexazinone 75 WDG; Velpar DF CU,,,
Leaf & Cane Spot,36,BLUE SHIELD DF; Blue Shield WP; 3 LB. COPPER FLOWABLE FUNGICIDE; AmeriCop 40 DF; Blue Shield 40DF,,,
Leaf & twig blight,2,Chlorothalonil 82.5DF Select; Echo 825,,,
Leaf Alternaria,2,POLYDEX; OLD BRIDGE BASIC COPPER SULFATE,,,
Leaf Anthracnose,1,FLU+DFO,,,
Leaf Beetles,13,Imidacloprid 1.47% FL; IMA-jet 10%; Arena 0.25 G Insecticide; Mallet 1.47% Concentrate; Merit 1.1% Insecticide,,,
Leaf Beetles (including elm and viburnum leaf beetles),4,Rotam Imidacloprid 70WG Insecticide,,,
Leaf Blight,251,3 LB. COPPER FLOWABLE FUNGICIDE; A19649 Crop; A20560 Crop Fungicide; A-Zox 50WDG; A201.08,,,
Leaf Blight (Dendrophoma),1,Quali-Pro™ 4.5,,,
Leaf Blight (Seimatosporium),1,Quali-Pro™ 4.5,,,
Leaf Blight Red Leaf,1,Microcop Fungicide,,,
Leaf Blight and Brown Rot,1,ArborBiotic,,,
Leaf Blights,1,Fungi-Phite,,,
Leaf Blights/Spots,2,RTSA 14.3% Propiconazole; PROPICONAZOLE 14.3% ME,,,
Leaf Blister or Curl,10,JUNCTION WSP; Junction,,,
Leaf Blotch,16,Agri Tin Flowable; CPI Chlorothalonil Multipurpose Fungicide; Super Tin 4L; A201.08; Sharda Bos. 25.2% + Pyra. 12.8% WG,,,
Leaf Curl,157,AG Copp 75; AG33037 B 3.4FL Fungicide; 3 LB. COPPER FLOWABLE FUNGICIDE; AG33037 A 3.4FL Fungicide; AG33037 C 3.4FL Fungicide,,,
Leaf Curl (suppression),2,Bonide FT09,,,
Leaf Eating Beetles,3,TriStar® 70 WSP; AG35814 C 8.5SL Insecticide; TriStar 30 SG Insecticide,,,
Leaf Folder,2,ACECAP Systemic Insecticide Implants,,,
Leaf Footed Bug,6,Sharda Clothianidin 23% SC (CRASH SC); V-10170 2.13 SC Insecticide,,,
Leaf Hopper,12,Sharda Malathion 50% EC; SA-50 Malathion 50% E.C.; CINNACURETM A300S,,,
Leaf Hoppers,18,Trilogy Max; Sharda Malathion 50% EC; Safer Brand O-SAP Ready-To-Use Spray II; SA-50 Malathion 50% E.C.; Ortho ZBP Granules,,,
Leaf Miners,44,Acetamiprid Concentrate Insecticide; DIMETHOATE 2.67 EC; Brandt STS Horticultural Oil; ACECAP Systemic Insecticide Implants; CYMATE 267,,,
Leaf Mold,62,A253.04; A253.08; A295.01; A253.09; A253.05 [Vango ESQ],,,
Leaf Mold and Scab,2,ENDORSE Water Dispersible Granules,,,
Leaf Perforators,2,DEBUG OPTIMO,,,
Leaf Roller,11,CINNACURETM A300S,,,
