Simplified_Target,Target_Type,Total_Count,Original_Targets
harlequin bug,Insect,3,harlequin bug
White cockle,Other,3,White cockle
Anthracnose leaf and fruit spot,Insect,3,Anthracnose leaf and fruit spot
Citrus Psyllid,Other,3,Citrus Psyllid
Flat,Other,3,Flat
Increase fruit set and promote fruit growth,Other,3,Increase fruit set and promote fruit growth
green mold,Disease,3,green mold
Strawberry bud weevils,Insect,3,Strawberry bud weevils
green fruitworms,Insect,3,green fruitworms
Scale (Yellow),Insect,3,Scale (Yellow)
Flathead Apple Borer,Insect,3,Flathead Apple Borer
Flat-headed Borers (including Alder and Bronze birch),Insect,3,Flat-headed Borers (including Alder and Bronze birch)
Calico scales,Insect,3,Calico scales
Strawberry ringworm,Insect,3,Strawberry ringworm
Crown weevils,Insect,3,Crown weevils
Increased berry size,Other,3,Increased berry size
Pythium seedling,Other,3,Pythium seedling
Buttercup,Other,3,Buttercup
Deadbud,Other,3,Deadbud
sooty mold,Disease,3,sooty mold
Diaprepes Root Weevils,Insect,3,Diaprepes Root Weevils
Fruit quality,Other,3,Fruit quality
Round-headed Borers (including Eucalyptus longhorned),Insect,3,Round-headed Borers (including Eucalyptus longhorned)
General leaf and berry diseases,Disease,3,General leaf and berry diseases
Fruit loosening and ripening,Other,3,Fruit loosening and ripening
Root lesion nematode (Pratylenchus penetrans),Disease,3,Root lesion nematode (Pratylenchus penetrans)
Berry thinning,Other,3,Berry thinning
Oxtongue,Other,3,Oxtongue
Giant ragweed,Insect,3,Giant ragweed
Boll weevils,Insect,3,Boll weevils
Spittle Bug,Insect,3,Spittle Bug
Glassy Wing Sharpshooter,Other,3,Glassy Wing Sharpshooter
Panicle,Other,3,Panicle
Spodoptera spp.,Other,3,Spodoptera spp.
Rough,Other,3,Rough
scales (except black or snow),Insect,3,scales (except black or snow)
Royal Palm bugs,Insect,3,Royal Palm bugs
Unwanted vegetation,Insect,3,Unwanted vegetation
Glassywinged Sharpshooters,Other,3,Glassywinged Sharpshooters
Root Weevil Larvae,Insect,3,Root Weevil Larvae
Globodera species,Other,3,Globodera species
Gloeodes (sooty blotch),Other,3,Gloeodes (sooty blotch)
Angular Leaf Spot (Xanthomonas),Insect,3,Angular Leaf Spot (Xanthomonas)
Root Magot,Other,3,Root Magot
Weevils (adults),Insect,3,Weevils (adults)
Buckhorn plantain,Insect,3,Buckhorn plantain
plant bugs (Lygus spp.),Insect,3,plant bugs (Lygus spp.)
purplestem beggarticks,Other,3,purplestem beggarticks
raspberry crown borer,Insect,3,raspberry crown borer
Return bloom,Other,3,Return bloom
Rootgrubs (Scarabaeidae),Insect,3,Rootgrubs (Scarabaeidae)
Brown soft scale,Insect,3,Brown soft scale
Penicillium,Other,3,Penicillium
Rose,Other,3,Rose
Bacterial hyperplastic canker,Disease,3,Bacterial hyperplastic canker
Rose blossom,Other,3,Rose blossom
root-knot nematodes (Meloidogyne spp.),Other,3,root-knot nematodes (Meloidogyne spp.)
Weevil (Adults),Insect,3,Weevil (Adults)
ring nematodes (Criconemoides spp.),Other,3,ring nematodes (Criconemoides spp.)
Pacific Flatheaded Borer,Insect,3,Pacific Flatheaded Borer
Fungi and bacteria,Disease,3,Fungi and bacteria
Fungus,Disease,3,Fungus
Penicillium digitatum,Other,3,Penicillium digitatum
Sparganothis fruitworms,Insect,3,Sparganothis fruitworms
Spiral nematode (Helicotylenchus spp.),Other,3,Spiral nematode (Helicotylenchus spp.)
Sparganothis worm,Insect,3,Sparganothis worm
rootworms,Insect,3,rootworms
Penicillium italicum,Other,3,Penicillium italicum
Vegetable Weevil (adult),Insect,3,Vegetable Weevil (adult)
Root-knot nematodes (Meloidogyne spp.),Other,3,Root-knot nematodes (Meloidogyne spp.)
rushes,Weed,3,rushes
Root-knot nematode (Meloidogyne incognita),Other,3,Root-knot nematode (Meloidogyne incognita)
Spiny amaranth,Insect,3,Spiny amaranth
Fusarium species diseases,Disease,3,Fusarium species diseases
Root weevil larvae (including Black vine weevil),Insect,3,Root weevil larvae (including Black vine weevil)
Fruit ripening,Other,3,Fruit ripening
Vegetable Weevils (Adults),Insect,3,Vegetable Weevils (Adults)
Fruit color enhancement,Other,3,Fruit color enhancement
Glomerella (anthracnose,Insect,3,Glomerella (anthracnose
Glomerella (anthracnose),Insect,3,Glomerella (anthracnose)
Blue-green citrus root weevil,Insect,3,Blue-green citrus root weevil
Bigheaded ants,Insect,3,Bigheaded ants
Watermelon Bacterial Fruit Blotch (Suppression),Disease,3,Watermelon Bacterial Fruit Blotch (Suppression)
Alternaria citri,Other,3,Alternaria citri
Anthracnose (Colletotrichum prunicola,Insect,3,Anthracnose (Colletotrichum prunicola
Rhizopus),Other,3,Rhizopus)
Anthracnose (Colletotrichum spp.),Insect,3,Anthracnose (Colletotrichum spp.)
Rhizome,Other,3,Rhizome
St. John’s wort,Other,3,St. John’s wort
Western grapeleaf skeletonizers,Other,3,Western grapeleaf skeletonizers
Green fruit worm,Insect,3,Green fruit worm
Rhizoctonia species diseases,Disease,3,Rhizoctonia species diseases
Western raspberry fruitworm (adult),Insect,3,Western raspberry fruitworm (adult)
soil dwelling insect pests,Other,3,soil dwelling insect pests
Gloomy Scale,Insect,3,Gloomy Scale
Southern Blue-Green Citrus Root Weevils,Insect,3,Southern Blue-Green Citrus Root Weevils
Pepper mottle virus,Disease,3,Pepper mottle virus
Orangeworm,Insect,3,Orangeworm
Foxtail (giant,Insect,3,Foxtail (giant
Rhizoctonia canker,Disease,3,Rhizoctonia canker
Rhizoctonia Solani,Other,3,Rhizoctonia Solani
Billbug,Insect,3,Billbug
fruit,Other,3,fruit
Pea Leaf Weevils,Insect,3,Pea Leaf Weevils
Dead bud (blossom blast),Other,3,Dead bud (blossom blast)
Dead bud,Other,3,Dead bud
Foxtail (Green),Weed,3,Foxtail (Green)
Delay rind aging and reduce disorders,Other,3,Delay rind aging and reduce disorders
shothole,Other,3,shothole
Dormancy of potatoes,Other,3,Dormancy of potatoes
Delay rind aging and reduce rind disorders,Other,3,Delay rind aging and reduce rind disorders
Watermelon mosaic virus 2,Disease,3,Watermelon mosaic virus 2
Other seed-borne fungi,Other,3,Other seed-borne fungi
phomopsis,Other,3,phomopsis
Desiccation of potato foliage,Other,3,Desiccation of potato foliage
Grape (Phylloxera) suppression only,Other,3,Grape (Phylloxera) suppression only
Panicum (Common,Other,3,Panicum (Common
Other males of Bactrocera species attracted to Methyl Eugenol,Other,3,Other males of Bactrocera species attracted to Methyl Eugenol
Rockpurslane,Weed,3,Rockpurslane
Bacterial blast (Pseudomonas),Disease,3,Bacterial blast (Pseudomonas)
Robust Foxtail,Weed,3,Robust Foxtail
Grape Phylloxera (Suppression Only),Other,3,Grape Phylloxera (Suppression Only)
Grape colapsis,Other,3,Grape colapsis
pecan leaf casebearer,Other,3,pecan leaf casebearer
pear slug,Other,3,pear slug
Ring nematodes (Criconemoides spp.),Other,3,Ring nematodes (Criconemoides spp.)
Panicum spp.,Other,3,Panicum spp.
Spur formation,Other,3,Spur formation
Desert,Other,3,Desert
Western Striped),Other,3,Western Striped)
Rindworm spp.,Insect,3,Rindworm spp.
Alternaria species diseases,Disease,3,Alternaria species diseases
Rindworm species,Insect,3,Rindworm species
Epiphyas postvittana,Other,3,Epiphyas postvittana
Citrus root weevil complex,Insect,3,Citrus root weevil complex
Western grape skeletonizer,Other,3,Western grape skeletonizer
Stunt nematode (Tylenchorhynchus spp.),Other,3,Stunt nematode (Tylenchorhynchus spp.)
Jim Hill,Other,3,Jim Hill
Rose Slugs,Other,3,Rose Slugs
Wireworm (Adult),Insect,3,Wireworm (Adult)
Xiphinema species,Other,3,Xiphinema species
Three-cornered Alfalfa Hopper,Insect,3,Three-cornered Alfalfa Hopper
Macadamia Felted Coccid,Other,3,Macadamia Felted Coccid
Tomato pinworm (Keiferia lycopersicella),Insect,3,Tomato pinworm (Keiferia lycopersicella)
black scale,Insect,3,black scale
Wild Proso,Other,3,Wild Proso
Macrophomina phaseolina,Other,3,Macrophomina phaseolina
Fairyring complex,Other,3,Fairyring complex
Cladosporium leaf blotch,Other,3,Cladosporium leaf blotch
Pink Bollworm,Insect,3,Pink Bollworm
trunk canker,Disease,3,trunk canker
black vine and other root weevils,Insect,3,black vine and other root weevils
tuber black scurf,Other,3,tuber black scurf
Maximum fruit size increase,Other,3,Maximum fruit size increase
Maximum size increase and maturity delay,Other,3,Maximum size increase and maturity delay
Pink Snow Mold,Disease,3,Pink Snow Mold
bacterial speck,Disease,3,bacterial speck
Meadow and Pine Mice,Other,3,Meadow and Pine Mice
Facilitate harvest,Other,3,Facilitate harvest
Tuber disease causing organisms,Disease,3,Tuber disease causing organisms
army worms,Insect,3,army worms
Pinnate,Other,3,Pinnate
Silver,Other,3,Silver
black vine weevil,Insect,3,black vine weevil
Citricola,Other,3,Citricola
Elk,Other,3,Elk
Little fire ants,Insect,3,Little fire ants
Adult Root Weevils,Insect,3,Adult Root Weevils
Sericea lespedeza,Other,3,Sericea lespedeza
Shepherds-purse,Other,3,Shepherds-purse
Aspergillus niger,Other,3,Aspergillus niger
Corn Rootworm (Adult),Insect,3,Corn Rootworm (Adult)
European Earwig,Other,3,European Earwig
Potato Leaf Hopper,Insect,3,Potato Leaf Hopper
Nut mold,Disease,3,Nut mold
tomato pinworms,Insect,3,tomato pinworms
brighter colored,Other,3,brighter colored
Lygus/Plant Bug,Insect,3,Lygus/Plant Bug
whiteflies (Bemisia and Trialeuroides spp.),Other,3,whiteflies (Bemisia and Trialeuroides spp.)
Control of black barrenberry,Other,3,Control of black barrenberry
trailing,Other,3,trailing
Post-harvest sanitation,Other,3,Post-harvest sanitation
bog St. John's wort,Other,3,bog St. John's wort
Fall Cabbage Looper,Other,3,Fall Cabbage Looper
Wild Mustards,Other,3,Wild Mustards
Common mullein,Other,3,Common mullein
Azalea Bark Scale,Insect,3,Azalea Bark Scale
Wild Oats,Weed,3,Wild Oats
twig borer,Insect,3,twig borer
Seedling diseases caused by Fusarium spp.,Disease,3,Seedling diseases caused by Fusarium spp.
Melanconium Dieback,Other,3,Melanconium Dieback
Colletotrichum spp.,Other,3,Colletotrichum spp.
Nettleleaf,Other,3,Nettleleaf
Carmine and Pacific Spider),Insect,3,Carmine and Pacific Spider)
Black Vine Weevils,Insect,3,Black Vine Weevils
Plant Bug (including Lygus Bug),Insect,3,Plant Bug (including Lygus Bug)
vegetable leaf miner,Insect,3,vegetable leaf miner
Sizing,Other,3,Sizing
Plant Bug species including Lygus species,Insect,3,Plant Bug species including Lygus species
webworm species,Insect,3,webworm species
Colletotrichum (anthracnose),Insect,3,Colletotrichum (anthracnose)
Volunteer Barley,Other,3,Volunteer Barley
European earwigs,Other,3,European earwigs
Moss and algae,Other,3,Moss and algae
Moose,Other,3,Moose
Yellow scales,Insect,3,Yellow scales
Net necrosis (PLRV),Disease,3,Net necrosis (PLRV)
Monilina spp.,Other,3,Monilina spp.
Carpenter and Pharaoh ants),Insect,3,Carpenter and Pharaoh ants)
Black Scurf and Stem Canker (Rhizoctonia solani),Disease,3,Black Scurf and Stem Canker (Rhizoctonia solani)
Yellow),Other,3,Yellow)
Plant Growth Regulator,Insect,3,Plant Growth Regulator
Net Necrosis,Disease,3,Net Necrosis
Yellow thistle,Weed,3,Yellow thistle
Young tomato hornworm,Insect,3,Young tomato hornworm
Minors,Other,3,Minors
Miner’s Lettuce,Insect,3,Miner’s Lettuce
Tobacco etch virus,Disease,3,Tobacco etch virus
Argentine Ants,Insect,3,Argentine Ants
Black dot (Colletotrichum coccodes),Other,3,Black dot (Colletotrichum coccodes)
Black burrowing bug,Insect,3,Black burrowing bug
Tomato leaf mold,Disease,3,Tomato leaf mold
Mosaic virus,Disease,3,Mosaic virus
Seedpod Weevils,Insect,3,Seedpod Weevils
Phytophthora (cactorum),Other,3,Phytophthora (cactorum)
Bremia spp.,Other,3,Bremia spp.
Plasmopara spp.,Other,3,Plasmopara spp.
Plasmopara,Other,3,Plasmopara
Ceratocystis Canker,Disease,3,Ceratocystis Canker
Argentine ants,Insect,3,Argentine ants
Microbial population,Other,3,Microbial population
Slime Molds,Disease,3,Slime Molds
Microsphaera,Other,3,Microsphaera
Phylloxera spp. (leaf),Other,3,Phylloxera spp. (leaf)
Morning Glory,Weed,3,Morning Glory
Botrytis species diseases,Disease,3,Botrytis species diseases
Exotic White Grub,Insect,3,Exotic White Grub
and Greenhouse),Other,3,and Greenhouse)
Zucchini yellow mosaic virus,Disease,3,Zucchini yellow mosaic virus
Potato Psyllids (Suppression),Other,3,Potato Psyllids (Suppression)
Littleseed,Other,3,Littleseed
Little Leaf Notchers,Other,3,Little Leaf Notchers
Aphanomyces,Other,3,Aphanomyces
Pickle Worm,Insect,3,Pickle Worm
Swamp (seedling),Other,3,Swamp (seedling)
Scum,Other,3,Scum
Branching and feathering,Other,3,Branching and feathering
Primocanes,Other,3,Primocanes
Erysiphe,Other,3,Erysiphe
Scurf,Other,3,Scurf
Twig canker,Disease,3,Twig canker
Apopka weevil,Insect,3,Apopka weevil
Olive Scale (Parlatoria Scale),Insect,3,Olive Scale (Parlatoria Scale)
dagger nematodes (Xiphinema spp.),Other,3,dagger nematodes (Xiphinema spp.)
Broadleaf (seedling),Weed,3,Broadleaf (seedling)
Leaf footed bug,Insect,3,Leaf footed bug
Leaf hopper spp.,Insect,3,Leaf hopper spp.
Botrytis Leaf Mold,Disease,3,Botrytis Leaf Mold
yellow loosestrife,Other,3,yellow loosestrife
Cranberry blossom worms,Insect,3,Cranberry blossom worms
Catfacing Insects (Plant Bugs and Stink Bugs),Insect,3,Catfacing Insects (Plant Bugs and Stink Bugs)
White grub spp.,Insect,3,White grub spp.
Sweet potato vine borer,Insect,3,Sweet potato vine borer
Sweetpotato Weevils,Insect,3,Sweetpotato Weevils
Boxelder Bugs,Insect,3,Boxelder Bugs
endoparasitic nematodes,Other,3,endoparasitic nematodes
Sedge (annual),Weed,3,Sedge (annual)
Surface fungi,Other,3,Surface fungi
firmer fruit,Other,3,firmer fruit
Ants (excluding Fire,Insect,3,Ants (excluding Fire
California redscale (crawler),Insect,3,California redscale (crawler)
yellow-striped,Other,3,yellow-striped
Peach tree borers,Insect,3,Peach tree borers
Cress,Other,3,Cress
Scales including Black Scale,Insect,3,Scales including Black Scale
sweet potato hornworm,Insect,3,sweet potato hornworm
Summer Patch,Other,3,Summer Patch
Creeping,Other,3,Creeping
Pseudocercosporella capsellae),Other,3,Pseudocercosporella capsellae)
Branching,Other,3,Branching
Witches’ Broom,Other,3,Witches’ Broom
feeding on foliage),Other,3,feeding on foliage)
Pruning Wound Canker,Disease,3,Pruning Wound Canker
Twig girdlers,Other,3,Twig girdlers
Suppression of Botrytis,Other,3,Suppression of Botrytis
Suppression of Botrytis on the foliage,Other,3,Suppression of Botrytis on the foliage
sweet potato vine borer,Insect,3,sweet potato vine borer
Olive Scale Crawler,Insect,3,Olive Scale Crawler
Narrowleaf plantain,Insect,3,Narrowleaf plantain
Mustard species,Other,3,Mustard species
Pecan Casebearers,Other,3,Pecan Casebearers
Pre-harvest Desiccation,Other,3,Pre-harvest Desiccation
Potato vine,Other,3,Potato vine
Whiteflies),Other,3,Whiteflies)
Sweetpotato weevil (adult),Insect,3,Sweetpotato weevil (adult)
Enhanced return bloom,Other,3,Enhanced return bloom
Soft scale insects,Insect,3,Soft scale insects
Field Cricket,Other,3,Field Cricket
citrus peelminer,Insect,3,citrus peelminer
Volunteer Oats,Other,3,Volunteer Oats
Lesser webworm,Insect,3,Lesser webworm
Cloverworms,Insect,3,Cloverworms
Tarnished plantbug,Insect,3,Tarnished plantbug
Seed corn maggot,Insect,3,Seed corn maggot
Lettuce Drop,Other,3,Lettuce Drop
tomato fruitworms,Insect,3,tomato fruitworms
citricola scale,Insect,3,citricola scale
European Corn Borer (ovicide),Insect,3,European Corn Borer (ovicide)
Cane Canker,Disease,3,Cane Canker
Corn Rootworm Adults,Insect,3,Corn Rootworm Adults
Mummy Berry (suppression),Other,3,Mummy Berry (suppression)
Oak Root Fungus and nematodes,Disease,3,Oak Root Fungus and nematodes
chamomile,Other,3,chamomile
Nutsedge yellow,Weed,3,Nutsedge yellow
Field Sandbur,Other,3,Field Sandbur
Soft scales (including lobate lac scales),Insect,3,Soft scales (including lobate lac scales)
Trash Bugs,Insect,3,Trash Bugs
Take-all Patch,Other,3,Take-all Patch
Broad-necked root borer,Insect,3,Broad-necked root borer
Swinecress,Other,3,Swinecress
Cottony peach scales,Insect,3,Cottony peach scales
Turkey mullein,Other,3,Turkey mullein
Cottony leak,Other,3,Cottony leak
Leafy spurge,Other,3,Leafy spurge
Shuckworms,Insect,3,Shuckworms
Lesion nematodes (Pratylenchus spp.),Disease,3,Lesion nematodes (Pratylenchus spp.)
Wireworm spp.,Insect,3,Wireworm spp.
Plant Bugs (including Lygus and Stink Bugs),Insect,3,Plant Bugs (including Lygus and Stink Bugs)
Obscure scales,Insect,3,Obscure scales
White rust (Albugo occidentalis),Insect,3,White rust (Albugo occidentalis)
Field horsetail,Other,3,Field horsetail
Ethylene exposure,Other,3,Ethylene exposure
Wireworm Adults,Insect,3,Wireworm Adults
Lepidopterous Larvae,Insect,3,Lepidopterous Larvae
yellow scale,Insect,2,yellow scale
woody plants,Insect,2,woody plants
Bot Canker,Disease,2,Bot Canker
wireworm (adults),Insect,2,wireworm (adults)
western raspberry fruitworm,Insect,2,western raspberry fruitworm
san jose scale (fruit infestations only),Insect,2,san jose scale (fruit infestations only)
Berry sizing (seeded grapes),Other,2,Berry sizing (seeded grapes)
Banded grape bug,Insect,2,Banded grape bug
western grape leaf skeletonizer,Other,2,western grape leaf skeletonizer
Vine decay,Other,2,Vine decay
Vegetable leaf miner,Insect,2,Vegetable leaf miner
Southwestern Corn Earworm,Insect,2,Southwestern Corn Earworm
Amaranth Palmer,Insect,2,Amaranth Palmer
Vegetable Weevils,Insect,2,Vegetable Weevils
Silver scurf (Helminthosporium solani),Other,2,Silver scurf (Helminthosporium solani)
Vinegar Flies (adults),Other,2,Vinegar Flies (adults)
western,Other,2,western
Alfalfa loopers,Other,2,Alfalfa loopers
Southern corn rootworm,Insect,2,Southern corn rootworm
Sour rot (Geotrichum citri-aurantii),Insect,2,Sour rot (Geotrichum citri-aurantii)
Almond pruning-wound canker,Disease,2,Almond pruning-wound canker
spoilage,Other,2,spoilage
tomato horn worm,Insect,2,tomato horn worm
spp.,Other,2,spp.
Volunteer potatoes,Other,2,Volunteer potatoes
squash bug,Insect,2,squash bug
Sooty Peach,Other,2,Sooty Peach
Botrytis cinerea),Other,2,Botrytis cinerea)
Sooty Blotch Disease complex,Disease,2,Sooty Blotch Disease complex
squash bug spp.,Insect,2,squash bug spp.
Volunteer sorghum,Other,2,Volunteer sorghum
tentiform leaf miner species,Insect,2,tentiform leaf miner species
Wasps,Insect,2,Wasps
Botrytis Leaf mold,Disease,2,Botrytis Leaf mold
Soil borne pathogens,Disease,2,Soil borne pathogens
Walnut,Other,2,Walnut
Alfalfa Worms,Insect,2,Alfalfa Worms
tall fescue,Weed,2,tall fescue
Botrytis (suppression only),Other,2,Botrytis (suppression only)
Soil-borne pests (wireworms,Insect,2,Soil-borne pests (wireworms
Walnut huskflies,Other,2,Walnut huskflies
Alfalfa looper (Autographa californica),Other,2,Alfalfa looper (Autographa californica)
strawberry bud weevil,Insect,2,strawberry bud weevil
Soil-borne disease,Disease,2,Soil-borne disease
strawberry root weevil,Insect,2,strawberry root weevil
Soil-borne diseases (Pythium,Disease,2,Soil-borne diseases (Pythium
stubby root nematodes,Other,2,stubby root nematodes
Bacterial spot (Xanthomonas spp.),Insect,2,Bacterial spot (Xanthomonas spp.)
surface fungi,Other,2,surface fungi
Vegetative growth control during long growing season,Other,2,Vegetative growth control during long growing season
Soft,Other,2,Soft
weevil spp.,Insect,2,weevil spp.
Botrytis on foliage,Other,2,Botrytis on foliage
Silver),Other,2,Silver)
Vegetable leaf miners,Insect,2,Vegetable leaf miners
Silverleaf (Potentilla pacifica),Other,2,Silverleaf (Potentilla pacifica)
Virulent Pepino mosaic virus isolates,Disease,2,Virulent Pepino mosaic virus isolates
Southern blue green root weevil,Insect,2,Southern blue green root weevil
walnut,Other,2,walnut
Southern blue green citrus root weevil (Pachnaeus litus),Insect,2,Southern blue green citrus root weevil (Pachnaeus litus)
Beech nut chinch bug,Insect,2,Beech nut chinch bug
Southern blue green citrus root weevil,Insect,2,Southern blue green citrus root weevil
Watermelon bacterial fruit blotch (suppression),Disease,2,Watermelon bacterial fruit blotch (suppression)
Alternaria solani,Other,2,Alternaria solani
Vegetative growth control and reduced latent bloom,Other,2,Vegetative growth control and reduced latent bloom
vascular collapse,Other,2,vascular collapse
sizing,Other,2,sizing
Botryosphaeria rhodina,Other,2,Botryosphaeria rhodina
soft brown scale,Insect,2,soft brown scale
soft scald,Other,2,soft scald
Southern Cabbageworms,Insect,2,Southern Cabbageworms
variegated),Other,2,variegated)
Southern Blue-Green Citrus Weevil,Insect,2,Southern Blue-Green Citrus Weevil
soft scale,Insect,2,soft scale
Aflatoxin-producing strains of Aspergillus flavus,Other,2,Aflatoxin-producing strains of Aspergillus flavus
Agrobacterium spp.,Other,2,Agrobacterium spp.
Air-borne disease,Disease,2,Air-borne disease
tree borer species,Insect,2,tree borer species
Botryosphaeria spp. Canker Complex,Disease,2,Botryosphaeria spp. Canker Complex
Botrytis (Botrytis cinerea),Other,2,Botrytis (Botrytis cinerea)
Sourly scale,Insect,2,Sourly scale
Snow,Other,2,Snow
soil-borne pests,Other,2,soil-borne pests
Blue green citrus root weevil (Pachnaeus opalus),Insect,2,Blue green citrus root weevil (Pachnaeus opalus)
Bacterial speck (Pseudomonas spp.),Disease,2,Bacterial speck (Pseudomonas spp.)
butternut filbertworm,Insect,2,butternut filbertworm
citrus psylla,Other,2,citrus psylla
Tarnish Plant Bugs,Insect,2,Tarnish Plant Bugs
citrus orangedog,Other,2,citrus orangedog
Tarnish plant bug,Insect,2,Tarnish plant bug
Tart cherry ripening and loosening,Other,2,Tart cherry ripening and loosening
Bacterial Blast (sprinkler irrigated orchards),Disease,2,Bacterial Blast (sprinkler irrigated orchards)
chinquapin navel orangeworm,Insect,2,chinquapin navel orangeworm
chafers,Other,2,chafers
cashew leaffooted bug,Insect,2,cashew leaffooted bug
Wild Grape,Other,2,Wild Grape
Apple replant disease,Insect,2,Apple replant disease
Black vine weevil (Adult),Insect,2,Black vine weevil (Adult)
Apple sucker,Other,2,Apple sucker
boxelder bugs,Insect,2,boxelder bugs
Appleworms,Insect,2,Appleworms
blueberry maggot,Insect,2,blueberry maggot
Three-cornered alfalfa hoppers,Insect,2,Three-cornered alfalfa hoppers
Wild cherry,Other,2,Wild cherry
bitter cherry,Other,2,bitter cherry
beech nut chinch bug,Insect,2,beech nut chinch bug
Wild grape,Other,2,Wild grape
bagrada bugs,Insect,2,bagrada bugs
Tansymustard (pinnate),Other,2,Tansymustard (pinnate)
Bacterial Blight (Xanthomonas),Insect,2,Bacterial Blight (Xanthomonas)
Wild strawberry,Other,2,Wild strawberry
Blackberry (briar),Other,2,Blackberry (briar)
Sucker control,Other,2,Sucker control
Ants (excluding fire and Pharaoh ants),Insect,2,Ants (excluding fire and Pharaoh ants)
Sugarbeet Nematode,Insect,2,Sugarbeet Nematode
Suppression of Vine Decay,Other,2,Suppression of Vine Decay
Suppression of calcium disorders,Other,2,Suppression of calcium disorders
Aphanomyces spp.,Other,2,Aphanomyces spp.
downy,Disease,2,downy
diseases affecting leafy vegetables,Disease,2,diseases affecting leafy vegetables
diaprepes root weevil,Insect,2,diaprepes root weevil
Apple Gall Midge,Insect,2,Apple Gall Midge
Twig Borers,Insect,2,Twig Borers
Apple curculio,Other,2,Apple curculio
Sweet Potato Weevil (Adults),Insect,2,Sweet Potato Weevil (Adults)
Sweet cherry ripening and loosening,Other,2,Sweet cherry ripening and loosening
cricket species,Other,2,cricket species
Bacterial Canker/Blast,Disease,2,Bacterial Canker/Blast
corn earworms,Insect,2,corn earworms
White mold (suppression),Disease,2,White mold (suppression)
Sweetpotato weevil (adults),Insect,2,Sweetpotato weevil (adults)
contamination,Other,2,contamination
common groundsel,Other,2,common groundsel
White-footed mice (Peromyscus leucopus),Other,2,White-footed mice (Peromyscus leucopus)
Wild rose,Other,2,Wild rose
apple sucker,Other,2,apple sucker
Sucker Ants,Insect,2,Sucker Ants
Xanthamonas spp.,Insect,2,Xanthamonas spp.
Yellow Loosestrife,Other,2,Yellow Loosestrife
Xanthomonas vesicatoria,Insect,2,Xanthomonas vesicatoria
Tomato psyllid (suppression only),Other,2,Tomato psyllid (suppression only)
Xanthomonas leafspot,Insect,2,Xanthomonas leafspot
Xanthomonas leaf spot,Insect,2,Xanthomonas leaf spot
Townsend's Vole,Vertebrate,2,Townsend's Vole
Asian Cockroach (Blattella asahinae),Other,2,Asian Cockroach (Blattella asahinae)
Townsend’s voles (M. townsendii),Vertebrate,2,Townsend’s voles (M. townsendii)
Trailing blackberry,Other,2,Trailing blackberry
Xanthomonas axonopodis pv. citri,Insect,2,Xanthomonas axonopodis pv. citri
Tree Borer,Insect,2,Tree Borer
Black Scurf & Stem Canker,Disease,2,Black Scurf & Stem Canker
Wooly Adelgid,Other,2,Wooly Adelgid
Tree Borer species (Adult),Insect,2,Tree Borer species (Adult)
Woody species,Other,2,Woody species
Woody plants,Insect,2,Woody plants
Asian citrus psylla,Other,2,Asian citrus psylla
Tree borer,Insect,2,Tree borer
Tree borer species,Insect,2,Tree borer species
Tree squirrel,Vertebrate,2,Tree squirrel
Witches' Broom,Other,2,Witches' Broom
Witches Broom,Other,2,Witches Broom
Wirestem,Other,2,Wirestem
Tomato fruitworms (corn earworms),Insect,2,Tomato fruitworms (corn earworms)
Tobacco Fruitworm,Insect,2,Tobacco Fruitworm
Tomato Bugs,Insect,2,Tomato Bugs
apple curculio,Other,2,apple curculio
Tobacco budworm (Heliothis spp),Insect,2,Tobacco budworm (Heliothis spp)
anthracnose),Insect,2,anthracnose)
Tobacco budworm (Heliothis virescens),Insect,2,Tobacco budworm (Heliothis virescens)
and enhanced return bloom,Other,2,and enhanced return bloom
Armored Scales,Insect,2,Armored Scales
Tomato Budworm,Insect,2,Tomato Budworm
Yellowjackets,Other,2,Yellowjackets
Tomato Budworms,Insect,2,Tomato Budworms
Wilsonomyces spp.,Other,2,Wilsonomyces spp.
Tuber black scurf,Other,2,Tuber black scurf
Army-worms,Insect,2,Army-worms
Tomato Fruit worms,Insect,2,Tomato Fruit worms
Yellowhead,Other,2,Yellowhead
Black Vine Weevil larvae,Insect,2,Black Vine Weevil larvae
Tomato Fruitworm (Helicoverpa zea),Insect,2,Tomato Fruitworm (Helicoverpa zea)
Yellow starthistle,Weed,2,Yellow starthistle
Tomato Psyllids,Other,2,Tomato Psyllids
Tomato Ripening,Other,2,Tomato Ripening
Yellow rocket,Other,2,Yellow rocket
Tomato fruitworm (Heliothis zea),Insect,2,Tomato fruitworm (Heliothis zea)
Wire Stem,Other,2,Wire Stem
Ants (excluding Harvester,Insect,2,Ants (excluding Harvester
fruit infestations only),Other,2,fruit infestations only)
root knot nematodes,Other,2,root knot nematodes
Western grape-leaf hopper,Insect,2,Western grape-leaf hopper
Bog St. John’s Wort,Other,2,Bog St. John’s Wort
Sprout suppression,Other,2,Sprout suppression
pecan phylloxera,Other,2,pecan phylloxera
Spruce Budworm,Insect,2,Spruce Budworm
Spruce Coneworm,Insect,2,Spruce Coneworm
pear psylla adults,Other,2,pear psylla adults
Blueberry stem gall wasp,Insect,2,Blueberry stem gall wasp
peach twig borers,Insect,2,peach twig borers
pandemis,Other,2,pandemis
Anthracnose (Colletotrichum dematium and Microdochium panattonianum),Insect,2,Anthracnose (Colletotrichum dematium and Microdochium panattonianum)
