Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Crop/Specification,Causal organism,Count,Examples,Notes,,,,Count:,2584
Hickory shuckworms,Shuckworms,Insect,Hickory,,2,Drexel Carbaryl 4L,,,,,,
Hickory Spider,Spider,Insect,Hickory,,1,Vendex 50WP Miticide,,,,,,
Hide Beetles,Hide Beetles,Insect,,,4,Entech Fog-10 Space Spray; PYRENONE 3-15 Space Spray,,,,,,
HLB / Citrus Greening (Candidatus Liberibacter asiaticus),Citrus Greening,Other,,Candidatus Liberibacter asiaticus,5,Vismax Specialty,Review needed - unclear target type,,,,,
Hoary,Hoary,Other,,,3,IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
Honeylocust Mite,Mites,Insect,Honeylocust,,2,ACECAP Systemic Insecticide Implants,,,,,,
Honeylocust Plant Bugs,Plant Bugs,Insect,Honeylocust,,1,BOXERTM Insecticide-Miticide,,,,,,
honeyvine,Honeyvine,Other,,,10,F7127 SE HERBICIDE,Review needed - unclear target type,,,,,
hop,Hop,Other,,,5,FreeHand 1.75G Herbicide,Review needed - unclear target type,,,,,
Hop Clover,Hop Clover,Weed,,,10,Pendimethalin 0.86% on Fertilizer; A313.01; Pendimethalin 0.75% on Fertilizer; LPI.A011; Comet Selective Herbicide,,,,,,
Hop clover,Hop clover,Weed,,,3,OBTAIN 40% WDG Herbicide; Liberty Fluroxypyr Herbicide,,,,,,
hophornbeam,hophornbeam,Other,,,20,F7127 SE HERBICIDE; LIBERTY X-METCHLORBUZIN; LPI.A014; A335.05,Review needed - unclear target type,,,,,
Hoplia beetle,Hoplia beetles,Insect,,,2,Surround WP Agricultural Crop Protectant; SURROUND CF AGRICULTURAL CROP PROTECTANT,,,,,,
Horn and heel flies,"Horn flies, heel flies",Other,,,7,Prentox Perm-X UL 30-30,Review needed - unclear target type,,,,,
Horn Fly,Horn flies,Insect,,,2,Dairy & Livestock Spray Concentrate; BONIDE Pyrethrin Concentrate 60-6,,,,,,
Horn Worm,Hornworms,Insect,,,21,PURESPRAY™ GREEN FORMULA 3; BONIDE® HORTICULTURAL AND DORMANT SPRAY OIL; ClearGuard™ Horticultural Spray Oil; Perma Guard Garden and Plant Protection Insecticide,,,,,,
Horn worm,Hornworms,Insect,,,3,Britz BT 25 Sulfur Dust; Damoil Supreme; Damoil Dormant & Summer Spray Oil,,,,,,
Horn Worms,Hornworms,Insect,,,3,"Southern Permethrin 10% Lawn Insecticide; Ecto B715 Insecticide; HI-YIELD PERMETHRIN CONCENTRATE LAWN, GARDEN, DOG & LIVESTOCK INSECT CONTROL",,,,,,
Horn worms,Hornworms,Insect,,,11,Bonide Permakil 25; EVERCIDE® 28511; Bonide Eight Insect Control Yard & Garden Ready To Spray; Bonide Eight Insect Control Concentrate; Hi-Yield Kill-A-Bug II,,,,,,
horn worms,Hornworms,Insect,,,1,PRAMEX® Insect Killer R4 30223,,,,,,
Hornets,Hornets,Other,,,2,Dairy & Livestock Spray Concentrate; BONIDE Pyrethrin Concentrate 60-6,Review needed - unclear target type,,,,,
Hornflies,Horn flies,Other,,,1,Envi EC-X Emulsifiable Concentrate Insecticide,Review needed - unclear target type,,,,,
Hornworm,Hornworms,Insect,,,74,Bonide FT09; Bonide Lambda 0.025% Dust; Bonide Lambda 0.5% Concentrate; AMBUSH 25W Insecticide Water Soluble Pack; AX Methomyl 29LV Insecticide,,,,,,
hornworm,Hornworms,Insect,,,1,Permethrin .25% Dust,,,,,,
Hornworm species,Hornworms,Insect,,,46,Avalaire Lambda-Cy 1 EC; A115.04; AZ Lambda 2ME; AX LAMBDA-CY CRI; A115.02,,,,,,
hornworm species,Hornworms,Insect,,,2,LIBERTY LAMBDA 2 ME,,,,,,
Hornworm spp.,Hornworms,Insect,,,40,CSI Lambda 1EC; Brigadier HPG Insecticide; Brigadier Insecticide; Athena Insecticide; Actylis Lambda-Cy Insecticide,,,,,,
hornworm spp.,Hornworms,Insect,,,6,CHA 1525-03; DECLARE; CHA 1550-03,,,,,,
Hornworms,Hornworms,Insect,,,236,Acetamiprid Concentrate Insecticide; A197.05; A198.01; A198.03; A145.01,,,,,,
hornworms,Hornworms,Insect,,,10,Blackhawk; Hi-Yield,,,,,,
Hornworms (Manduca quinquemaculata),Hornworms,Insect,,,2,A103.02,,,,,,
Horse flies,Horseflies,Other,,,7,Prentox Perm-X UL 30-30,Review needed - unclear target type,,,,,
Horse Fly,Horseflies,Insect,,,2,Dairy & Livestock Spray Concentrate; BONIDE Pyrethrin Concentrate 60-6,,,,,,
Horseflies,Horseflies,Other,,,21,Real-Kill Rose & Garden Insect Spray II,Review needed - unclear target type,,,,,
Horsenettle,Horsenettle,Other,,,9,OBTAIN 40% WDG Herbicide; A313.01; Comet Selective Herbicide; LPI.A011; Liberty Fluroxypyr Herbicide,Review needed - unclear target type,,,,,
Horseweed,Horseweed (Marestail),Weed,,,60,Clean Slate®; CLOPYR AG; Drexel Me-Try-Buzin 75DF; A339.01; Clopyralid,,,,,,
horseweed,Horseweed (Marestail),Weed,,,9,GF-1966; GF-2551,,,,,,
Horseweed (Marestail),Horseweed (Marestail),Weed,,,26,F7127 SE HERBICIDE; Avalaire Clopyralid 3 SL; Avalaire Rimsulfuron 25 SG; LIBERTY CLOP; GCS Clopy 360SL,,,,,,
Horseweed (marestail),Horseweed (Marestail),Weed,,,10,A339.01; A313.01; LPI.A011; LPI.A026; Liberty Fluroxypyr Herbicide,,,,,,
Horseweed/Marestail,Horseweed (Marestail),Weed,,,2,Comet Selective Herbicide,,,,,,
Horseweed/marestail,Horseweed (Marestail),Weed,,,4,Velpar DF CU; Velpar® L CU,,,,,,
House crickets,Crickets,Other,,,15,Sevin 5 Bait; Drexel Carbaryl 2% Bait/Granule; DREXEL CARBARYL 5% BAIT,Review needed - unclear target type,,,,,
House flies,House Flies,Other,,,4,PRO-MATE UL 30-30,Review needed - unclear target type,,,,,
House Fly,House Flies,Insect,,,2,Dairy & Livestock Spray Concentrate; BONIDE Pyrethrin Concentrate 60-6,,,,,,
House Mouse,Mice,Vertebrate,,,1,ZP Rodent Oat Bait AG,,,,,,
House mouse,Mice,Vertebrate,,,1,WILCO ZINC AG BAIT,,,,,,
Houseflies,House Flies,Other,,,7,Prentox Perm-X UL 30-30,Review needed - unclear target type,,,,,
Huanglongbing,Citrus Greening,Other,,,3,FireLine 45 WP; FireLine™ 17 WP Fungicide/Bactericide Agricultural Oxytetracycline; Mycoshield,Review needed - unclear target type,,,,,
Hull loosening,Hull loosening,Other,,,1,Ethephon 3#,Review needed - unclear target type,,,,,
Hull loosening and early harvest,Hull loosening,Other,,,1,Ethrel Brand Ethephon Plant Regulator,Review needed - unclear target type,,,,,
Hull Rot,Hull Rot,Disease,,,16,BOTECTOR; Serifel Biofungicide; Quash SC Fungicide; Companion® Maxx Liquid Biological Fungicide; SERENADE ASO,,,,,,
Hull rot,Hull Rot,Disease,,,19,Imbrex Xemium Fungicide Technical; ENDORSE Water Dispersible Granules; Mibelya Fungicide; Isofetamid-TEB 475SC Fungicide; Luna Experience,,,,,,
Hull Rot (Rhizopus stolonifer and Monilinia spp.),Hull Rot,Disease,,,6,PHC 25279,,,,,,
Hull rot (suppression),Hull Rot,Disease,,,3,Merivon Xemium Brand Fungicide,,,,,,
Husk fly,Husk flies,Insect,,,1,SURROUND CF AGRICULTURAL CROP PROTECTANT,,,,,,
husk fly,Husk flies,Insect,,,6,GF-1587 SC-NC; Surround WP Agricultural Crop Protectant; GF-1640 WG-NC,,,,,,
Husk fly (suppression),Husk flies,Insect,,,3,Green Light Lawn & Garden Spray with Spinosad,,,,,,
husk fly (suppression),Husk flies,Insect,,,12,Captain Jack's Deadbug Brew Flower & Vegetable Garden Dust; A1101.19; Spinosad 0.5% SC; Conserve SC Turf and Ornamental,,,,,,
Hybrid seed production,Hybrid seed production,Other,,,7,ETHEPHON 3.9% S&O; Florel Brand Growth Regulator; Florel brand Ethephon Plant Growth Regulator; Shift 3.9% Ethephon,Review needed - unclear target type,,,,,
Hypericum boreale,Hypericum boreale,Other,,,1,Rotam Mesotrione 480 SC,Review needed - unclear target type,,,,,
Hypocotyl Rot,Hypocotyl Rot,Disease,,,2,Thiophanate-Methyl 4.1 SC Fungicide; Topsin 4.5FL Fungicide,,,,,,
Hypocotyl rot,Hypocotyl Rot,Disease,,,3,Nufarm T-Methyl 4.5 F Fungicide; Liberty TM 540; Thiophanate Methyl 4.5F,,,,,,
Hypocotyl Rot (Acremonium/Cephalosporium),Hypocotyl Rot,Disease,,,1,Quali-Pro™ 4.5,,,,,,
Ice-nucleating bacteria,Ice-nucleating bacteria,Disease,,,2,Linebacker WDG Fungicide,,,,,,
Immature stages of scale insects,Immature stages of scale insects,Insect,,,8,SUNSPRAY 9C,,,,,,
Imported Cabbage Worm,Imported Cabbageworms,Insect,,,34,"BONIDE® Bacillus Thuringiensis ""O""; PREV-GARD; Bt Sulfur 15-50 Dust; Green Light® BT Worm Killer; Perma Guard Garden and Plant Protection Insecticide",,,,,,
Imported cabbage worm,Imported Cabbageworms,Insect,,,4,Bonide Vegetable Floral Dust; Britz BT 25 Sulfur Dust; SURROUND CF AGRICULTURAL CROP PROTECTANT; Chemsico HPC-O Concentrate,,,,,,
imported cabbage worm,Imported Cabbageworms,Insect,,,6,Blackhawk; Captain Jack's Deadbug Brew Flower & Vegetable Garden Dust; A1101.19; Bonide Bacillus Thuringiensis (Bt) Moth Larvae (Caterpillar) Control; Conserve SC Turf and Ornamental,,,,,,
Imported Cabbage Worms,Imported Cabbageworms,Insect,,,16,Pyrocide® Garden Spray Pressurized 30211; Bioprotec Caterpillar Insecticide Concentrate; Malathion 5; Safer B.t. Caterpillar Killer Concentrate,,,,,,
Imported cabbage worms,Imported Cabbageworms,Insect,,,2,Malathion 8; Bonide Eight Insect Control Yard & Garden Ready To Spray,,,,,,
imported cabbage worms,Imported Cabbageworms,Insect,,,7,R & M 30-3 Pyrethrin E.C.,,,,,,
Imported Cabbageworm,Imported Cabbageworms,Insect,,,315,A115.04; A110.08; A110.03; A110.05; A115.02,,,,,,
Imported cabbageworm,Imported Cabbageworms,Insect,,,175,A152.03; A197.05; A122.01™; A152.02; A177.04,,,,,,
imported cabbageworm,Imported Cabbageworms,Insect,,,23,Blackhawk; A1101.04; Aceto Bifenthrin 2E; CHA 1525-03; CHA 1550-03,,,,,,
Imported Cabbageworms,Imported Cabbageworms,Insect,,,43,Dibrom 8 Emulsive; AgriDiatomSil; Bonide Eight Insect Control Dust; 2016BIFENTHRIN; Chemsico Insecticide Concentrate 22L,,,,,,
Imported cabbageworms,Imported Cabbageworms,Insect,,,36,"Drexel Carbaryl 4L; Drexel Malathion 50% Emulsifiable; Bonide Rose, Flower & Ornamental Insect Spray Ready-to-Use; Drexel Malathion 5EC; Bonide Eight Insect Control Concentrate",,,,,,
Imported crucifer weevils,Weevils,Insect,Imported Crucifer,,1,Ecto B736 Insecticide,,,,,,
Imported Fire Ant,Imported Fire Ants,Insect,,,114,A118.03; Talstar 0.069 GCGURR Granular Insecticide with Fertilizer; Liberty Pyriproxyfen 0.5 G; Bifenthrin 180 FS; ESTEEM® ANT BAIT,,,,,,
imported fire ant,Imported Fire Ants,Insect,,,8,RF 2224 AFAB,,,,,,
Imported Fire Ants,Imported Fire Ants,Insect,,,3,TALSTAR 0.115 GURR GRANULAR WITH XX-X-XX FERTILIZER; Turf Pride® Fertilizer with 0.069% Bifenthrin Insecticide; Talstar 0.069 GCGURR Granular Insecticide with Fertilizer,,,,,,
Imported fire ants,Imported Fire Ants,Insect,,,29,Bug-Juice Insecticide Coating; Siesta Insecticide Fire Ant Bait; Altrevin™ Fire Ant Bait Insecticide,,,,,,
Imported saltmarsh Southern cabbageworm,Imported Cabbageworms,Insect,,,1,Drexel L-C Insecticide,,,,,,
Improve color,Coloration,Other,,,15,Foliar TRIGGRR,Review needed - unclear target type,,,,,
Improve crop uniformity & size,Crop sizing,Other,,,23,Foliar TRIGGRR,Review needed - unclear target type,,,,,
Improve flowering & fruit set,"Flowering, Fruit set",Other,,,23,Foliar TRIGGRR,Review needed - unclear target type,,,,,
Improve fruit set,"Flowering, Fruit set",Other,,,21,GibGro 20% Powder; GA3 20%; N-LARGE Premier; FAL 436; N-LARGE,Review needed - unclear target type,,,,,
Improve quality,Improve quality,Other,,,1,FAL 436,Review needed - unclear target type,,,,,
Improve seed fill & development,Improve seed fill & development,Other,,,7,Foliar TRIGGRR,Review needed - unclear target type,,,,,
improve skin appearance,improve skin appearance,Other,,,1,WEED-RHAP LV-6D,Review needed - unclear target type,,,,,
improve tuber size uniformity,improve tuber size uniformity,Other,,,1,WEED-RHAP LV-6D,Review needed - unclear target type,,,,,
Improve tuber turgidity and reduce pressure bruising,Improve tuber turgidity and reduce pressure bruising,Other,,,1,AMV-1018 EP,Review needed - unclear target type,,,,,
Improved fruit and rind quality,Improve quality,Other,,,1,Sunaider,Review needed - unclear target type,,,,,
Improved fruit firmness,Improved fruit firmness,Other,,,3,Sunaider,Review needed - unclear target type,,,,,
Improved fruit quality,Improve quality,Other,,,38,Sunaider,Review needed - unclear target type,,,,,
Improved fruit set,Fruit Set,Other,,,4,First-Up RST; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Improved fruit set and increased berry size,"Fruit Set, Fruit size",Other,,,1,Tide Forchlorfenuron 0.8 SL PGR,Review needed - unclear target type,,,,,
Improved Fruit Size,Fruit Size,Other,,,32,Soil TRIGGRR,Review needed - unclear target type,,,,,
Improved fruit size,Fruit Size,Other,,,1,Novagib 10L,Review needed - unclear target type,,,,,
Improved Root Growth,Improved Root Growth,Other,,,43,Soil TRIGGRR,Review needed - unclear target type,,,,,
Improving fruit set following freeze damage,Fruit Set,Other,,,1,Perlan,Review needed - unclear target type,,,,,
Improving type and size of fruit,Fruit Size,Other,,,5,Perlan,Review needed - unclear target type,,,,,
Inchworms,Inchworms,Insect,,,22,Bonide Permakil 25; Ecto B715 Insecticide; Ecto B736 Insecticide; Chemsico Lawn Insect Spray; Bonide Eight Insect Control Yard & Garden Ready To Spray,,,,,,
inchworms,Inchworms,Insect,,,6,Pramex® 10 Insect Control 3065; Hi-Yield,,,,,,
Increase berry set,Fruit Size,Other,,,2,ABG-3207 Plant Growth Regulator,Review needed - unclear target type,,,,,
Increase berry size,Fruit Size,Other,,,10,GA3 20%; Sitofex® Plant Growth Regulator; Sitofex Plant Growth Regulator; ProGibb 4% Plant Growth Regulator Solution; ABG-3207 Plant Growth Regulator,Review needed - unclear target type,,,,,
Increase berry size and cluster size,Fruit Size,Other,,,1,ProGibb Plus 2X Plant Growth Regulator,Review needed - unclear target type,,,,,
Increase berry size with minimal harvest delay,Fruit Size,Other,,,2,ABG-3207 Plant Growth Regulator,Review needed - unclear target type,,,,,
Increase cluster length and improve air circulation,Cluster Elongation,Other,,,1,ProGibb 4% Plant Growth Regulator Solution,Review needed - unclear target type,,,,,
Increase dormant bud hardiness and delay bloom,Increase dormant bud hardiness and delay bloom,Insect,,,1,Ethephon 2SL,,,,,,
Increase dormant bud hardiness and delay spring bloom,Increase dormant bud hardiness and delay bloom,Insect,,,1,Nufarm Ethephon 2 Plant Growth Regulator,,,,,,
Increase fruit retention,Fruit Set,Other,,,10,Foliar TRIGGRR,Review needed - unclear target type,,,,,
Increase fruit set,Fruit Set,Other,,,14,N-LARGE; ProGibb Plus 2X Plant Growth Regulator; REPAR GIBB 4% PGR; ReTain Plant Growth Regulator Soluble Powder; ReTain,Review needed - unclear target type,,,,,
Increase fruit set and growth,Fruit Set,Other,,,1,GA3 20%,Review needed - unclear target type,,,,,
Increase fruit set and promote fruit growth,Fruit Set,Other,,,3,N-LARGE Premier; GibGro 20% Powder; GibGro® 4LS,Review needed - unclear target type,,,,,
Increase fruit set and yield,Fruit Set,Other,,,1,ProGibb 4% Plant Growth Regulator Solution,Review needed - unclear target type,,,,,
Increase fruit set and yields,Fruit Set,Other,,,1,GA3 20%,Review needed - unclear target type,,,,,
Increase Fruit Size,Fruit Size,Other,,,4,Hivol-44,Review needed - unclear target type,,,,,
Increase fruit size,Fruit Size,Other,,,8,GibGro 20% Powder; GA3 20%; FAL 436; GibGro® 4LS; N-LARGE,Review needed - unclear target type,,,,,
Increase fruit size and quality,Fruit Size,Other,,,1,REPAR GIBB 4% PGR,Review needed - unclear target type,,,,,
Increase juice extraction yield,Increase juice extraction yield,Other,,,1,ProGibb 4% Plant Growth Regulator Solution,Review needed - unclear target type,,,,,
Increase leaf initiation & growth,Leaf Initiation,Other,,,6,Foliar TRIGGRR,Review needed - unclear target type,,,,,
Increase length of lateral bloom pedicels,Shoot Growth,Other,,,2,FAL 477; ProVide 10 SG Plant Growth Regulator Water Soluble Granule,Review needed - unclear target type,,,,,
Increase nut set,Nut Set,Other,,,5,ReTain Plant Growth Regulator Soluble Powder; ReTain,Review needed - unclear target type,,,,,
Increase production of runners,Increase runner production,Other,,,1,FAL 436,Review needed - unclear target type,,,,,
Increase runner production,Increase runner production,Other,,,9,GibGro 20% Powder; GA3 20%; N-LARGE Premier; GibGro® 4LS; N-LARGE,Review needed - unclear target type,,,,,
increase tuber set,increase tuber set,Other,,,1,WEED-RHAP LV-6D,Review needed - unclear target type,,,,,
increase yield and aid harvest,Increase Yield,Other,,,1,FAL 436,Review needed - unclear target type,,,,,
increase yield and improve quality,increase yield and improve quality,Other,,,1,GibGro 20% Powder,Review needed - unclear target type,,,,,
increase yield and quality,increase yield and improve quality,Other,,,1,GibGro® 4LS,Review needed - unclear target type,,,,,
Increased berry size,Fruit Size,Other,,,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Increased dormant bud hardiness and bloom delay,Increase dormant bud hardiness and delay bloom,Insect,,,1,Liberty Ethephon 21,,,,,,
Increased dormant bud hardiness and delayed bloom,Increase dormant bud hardiness and delay bloom,Insect,,,1,Ethrel Brand Ethephon Plant Regulator,,,,,,
Increased early marketable yield,Increase Yield,Other,,,17,Sunaider,Review needed - unclear target type,,,,,
Increased flower bud development,Bud Development,Other,,,2,Nufarm Ethephon 2 Plant Growth Regulator; Liberty Ethephon 21,Review needed - unclear target type,,,,,
Increased flower bud development (bearing trees),Bud Development,Other,,,1,Ethrel Brand Ethephon Plant Regulator,Review needed - unclear target type,,,,,
Increased flower bud development (non-bearing trees),Bud Development,Other,,,1,Ethrel Brand Ethephon Plant Regulator,Review needed - unclear target type,,,,,
Increased Fruit Number,Fruit Set,Other,,,25,Soil TRIGGRR,Review needed - unclear target type,,,,,
Increased fruit retention,Fruit Set,Other,,,4,Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Increased fruit retention and yield,Fruit Set,Other,,,2,Tide Forchlorfenuron 0.8 SL PGR,Review needed - unclear target type,,,,,
Increased fruit size,Fruit Size,Other,,,4,ProVide 10 SG Plant Growth Regulator Water Soluble Granule; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator; Accel Plant Growth Regulator Solution,Review needed - unclear target type,,,,,
Increased fruit size and yield,Fruit Size,Other,,,1,Tide Forchlorfenuron 0.8 SL PGR,Review needed - unclear target type,,,,,
Increased runner production,Increase runner production,Other,,,1,First-Up RST,Review needed - unclear target type,,,,,
Increased yield,Increase Yield,Other,,,4,Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Increased yield per acre,Increase Yield,Other,,,2,Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Increased yields,Increase Yield,Other,,,5,CYTEX,Review needed - unclear target type,,,,,
Increasing branching and feathering,Shoot Growth,Other,,,5,Exilis Plus,Review needed - unclear target type,,,,,
Indian,Indian,Other,,,15,Avalaire Metribuzin 4 F; Bar 750 DF; A342.01; AVALAIRE METRIBUZIN 75 DF; A342.02,Review needed - unclear target type,,,,,
Indian Meal Moth,Indian Meal Moths,Insect,,,3,Diafil® 610,,,,,,
Indian meal moth,Indian Meal Moths,Insect,,,20,CIDETRAK® IMM MEC; Cidetrak IMM; METH-O-GAS® Q; Metabrom 100; Meth-O-Gas 100,,,,,,
Indian Meal Moths,Indian Meal Moths,Insect,,,58,A.C. Southern Spray-Tox Insecticide; ENTECH FOG-3; LN 1% PY; Entech Fog-10 Space Spray; CT-55 Dairy Aerosol,,,,,,
Indian meal moths,Indian Meal Moths,Insect,,,3,DY-FLY Dairy Aerosol; Envi EC-X Emulsifiable Concentrate Insecticide,,,,,,
Indian Mustard,Indian Mustard,Other,,,5,METRIBUZIN 4L; TIGRIS MTZ 4 F,Review needed - unclear target type,,,,,
Indian mustard,Indian Mustard,Other,,,7,Sencor DF 75% Dry Flowable Herbicide; METRI DF; Metribuzin 75; Metribuzin 4L; Glory,Review needed - unclear target type,,,,,
Indianmeal moth,Indian Meal Moths,Insect,,,3,HERCON® DISRUPT® IMM HA MATING DISRUPTANT,,,,,,
Indianmeal Moths,Indian Meal Moths,Insect,,,10,TC-123 Insecticide; MGK AgriPest Cropfume P-H with Pyrethrins/PBO; A145.01,,,,,,
Initiate berry growth,Initiation of berry growth,Other,,,1,ProGibb Plus 2X Plant Growth Regulator,Review needed - unclear target type,,,,,
Initiation of berry growth,Initiation of berry growth,Other,,,1,ProGibb 4% Plant Growth Regulator Solution,Review needed - unclear target type,,,,,
Ink Spot,Ink Spot,Disease,,,12,Chipco 26019 Fungicide; IPRODIONE 50WP T&O; IPRODIONE 2SE TURF; IPRODIONE 50EG T&O,,,,,,
Ink spot,Ink Spot,Disease,,,9,26/36 Fungicide; Dovetail,,,,,,
Insect pests,Insects,Other,,,108,Bifenthrin 0.115% Granule Insecticide; GreeNeem Neem Oil 100% Cold Pressed; BIOGARD CONCENTRATE; Aloft EC G Insecticide; DEBUG® TURBO,Review needed - unclear target type,,,,,
insect pests,Insects,Other,,,2,LYNX EC 5.0,Review needed - unclear target type,,,,,
Insect pests including aphids,Insects,Insect,,,1,Trilogy XL-O Fungicide/Miticide/Insecticide,,,,,,
Insects,Insects,Other,,,184,A894.01; ECO2FUME FUMIGANT GAS; Ecoworks EC; Ally 33; DEBUG®-ON,Review needed - unclear target type,,,,,
Insects (all life stages),Insects,Other,,,5,IGI Carbon Dioxide,Review needed - unclear target type,,,,,
Insects and Mites,"Insects, Mites",Insect,,,2,TNO70 Broad Spectrum,,,,,,
Insects and mites,"Insects, Mites",Insect,,,42,Prentox PBO-8; Neem Oil Concentrate 70,,,,,,
Insects in soil,Insects,Other,,,3,MBC Concentrate Soil Fumigant,Review needed - unclear target type,,,,,
Insects which infest stored commodities,Insects,Other,,,18,Phostoxin Prepac Rope; DETIA® FUMEX,Review needed - unclear target type,,,,,
Insects/Mites,"Insects, Mites",Insect,,,19,Sulfur/Pyrethrins Fungicide/Insecticide,,,,,,
Intermediate fruit size increase,Fruit Size,Other,,,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Intermediate size increase with intermediate maturity delay,Fruit Size,Other,,,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Intermediate size increase with minimum maturity delay,Fruit Size,Other,,,3,Tide Forchlorfenuron 0.8 SL PGR; Sitofex Plant Growth Regulator; Sitofex® Plant Growth Regulator,Review needed - unclear target type,,,,,
Introduced basswood thrips,Thrips,Insect,Introduced Basswood,,3,Tempo Concentrate Insecticide,,,,,,
Invading woody plants,Woody Plants,Insect,,,1,"2,4-D Ester 4",,,,,,
Ipomoea coccinea,Ipomoea coccinea,Other,,Ipomoea spp.,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Ipomoea hederacea hederacea,Ipomoea hederacea hederacea,Other,,Ipomoea spp.,10,F6285 4F CAL Herbicide; Zone Defense,Review needed - unclear target type,,,,,
Ipomoea hederacea integriuscula,Ipomoea hederacea integriuscula,Other,,Ipomoea spp.,12,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Ipomoea purpurea,Ipomoea purpurea,Other,,Ipomoea spp.,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Ipomoea turbinata,Ipomoea turbinata,Other,,Ipomoea spp.,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Ipomoea wrightii,Ipomoea wrightii,Other,,Ipomoea spp.,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Iris Whitefly,Whiteflies,Insect,Iris,,1,Danitol 2.4 EC Spray,,,,,,
Ironweed,Ironweed,Weed,,,9,OBTAIN 40% WDG Herbicide; A313.01; Comet Selective Herbicide; LPI.A011; Liberty Fluroxypyr Herbicide,,,,,,
Italian,Italian,Other,,,11,Willowood Pronamide 3.3SC; BLASTWAVE 480 SC; Velpar® L CU,Review needed - unclear target type,,,,,
Italian (annual),Italian,Other,,,2,Velpar DF CU,Review needed - unclear target type,,,,,
Italian Pear Scale,Scales,Insect,Italian Pear,,138,IAP 440 Spray Oil; AX PYRIPROXYFEN 35 WSB; Britz 415 Supreme Spray Oil; Britz Supreme Spray Oil; HI Supreme Spray Oil,,,,,,
Italian Pear Scale (Summer forms),Scales,Insect,Italian Pear,,1,JMS STYLET-OIL,,,,,,
Italian Pear Scale crawlers,Scales,Insect,Italian Pear,,2,PureSpray Green,,,,,,
Italian pear scales,Scales,Insect,Italian Pear,,11,Soydorm Oil; Damoil Supreme; Damoil Dormant & Summer Spray Oil,,,,,,
Italian ryegrass,Ryegrass,Weed,Italian,,7,Tide Hexazinone 75 WDG; FreeHand 1.75G Herbicide,,,,,,
Italian Scale,Scales,Insect,Italian Pear,,19,Avalaire Pyriprox 0.86 EC; Esteem 35 WP; A118.02; AVALAIRE PYRIPROXYFEN 0.86 EC; KNACK Insect Growth Regulator,,,,,,
Itchgrass,Itchgrass,Weed,,,13,FreeHand 1.75G Herbicide; Prodiamine Pro F 0.20% Herbicide,,,,,,
Ivyleaf,Ivyleaf,Other,,,9,Metribuzin 27% + Sulfentrazone 18% WG; Sharda Metribuzin 27% + Sulfentrazone 18% DF; Avalaire Fomesafen 1.88 SL; Reflex® Herbicide; IMAZETHAPYR 240 SL,Review needed - unclear target type,,,,,
ivyleaf,Ivyleaf,Other,,,107,A363.01; A308.10; DREXEL FOMA 1.88 HERBICIDE; A308.04; A383.03,Review needed - unclear target type,,,,,
Ivyleaf Morningglory,Ivyleaf,Weed,,,1,WILLOWOOD FOMESAFEN 1.88 SL,,,,,,
Ivyleaf morningglory,Ivyleaf,Weed,,,1,Zone Defense,,,,,,
Jacket Rot,Green Fruit Rot (Jacket Rot),Disease,,,95,Avalaire T-Methyl 70 WSP; ADAMENT 50 WG Fungicide; AX TFM 4.5 FL; Armour-Zen; Avalaire T-Methyl 4.5F,,,,,,
Jacket rot,Green Fruit Rot (Jacket Rot),Disease,,,58,ADA 76901; Captan 4L; Axios Cion; A201.04; A201.06,,,,,,
jacket rot,Green Fruit Rot (Jacket Rot),Disease,,,1,Captan 80 WDG,,,,,,
Jacket Rot (Botrytis cinerea,Green Fruit Rot (Jacket Rot),Disease,,,8,PHC 25279,,,,,,
Jacket Rot (Green Fruit Rot),Green Fruit Rot (Jacket Rot),Disease,,,4,STK-73,,,,,,
Jacket rot (Green fruit rot),Green Fruit Rot (Jacket Rot),Disease,,,4,Scala Brand SC Fungicide,,,,,,
Jacket Rot (Monilinia,Green Fruit Rot (Jacket Rot),Disease,,,1,Quali-Pro™ 4.5,,,,,,
Jacket Rot / Green Fruit Rot Disease Complex,Green Fruit Rot (Jacket Rot),Disease,,,3,Zorda WG Biological Fungicide,,,,,,
