Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,is_PDF_downloaded,concat_sub,lookup
89046-12-70299,bt now,70299,REGISTERED,1292361,CLOSED,ROUTINE,2025-02-13,KATHERINE HETTER,INSECTICIDE,False,btnow89046-12-70299,FALSE
70313-1,DEKKO SILVERFISH PAKS,70313,REGISTERED,1308657,CLOSED,ROUTINE,2025-10-17,KATHERINE HETTER,INSECTICIDE,False,dekkosilverfishpaks70313-1,FALSE
70506-114,TEBUZOL 3.6 F FUNGICIDE (NO AERIAL APPLICATION IN NYS),70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,FUNGICIDE,False,tebuzol3.6ffungicide(noaerialapplicationinnys)70506-114,FALSE
70506-120,LAMBDA-CY EC INSECTICIDE (NO APP WITHIN 100FT OF COASTAL MARSHES),70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,INSECTICIDE,False,lambda-cyecinsecticide(noappwithin100ftofcoastalmarshes)70506-120,FALSE
70506-185,PENNCOZEB 75DF (RECLASSIFIED AS RESTRICTED use 02/27/2025),70506,REGISTERED,1293106,CLOSED,ROUTINE,2025-01-15,KATHERINE HETTER,FUNGICIDE,False,penncozeb75df(reclassifiedasrestricteduse02272025)70506-185,FALSE
70506-19,UP-CYDE PRO 2.0 EC,70506,REGISTERED,1306070,CLOSED,ROUTINE,2025-08-29,KATHERINE HETTER,"INSECTICIDE, TERMITICIDE",False,up-cydepro2.0ec70506-19,FALSE
70506-24,UP-STAR GOLD INSECTICIDE (NYS SPECIFIC LANGUAGE),70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,"INSECTICIDE, TERMITICIDE",False,up-stargoldinsecticide(nysspecificlanguage)70506-24,FALSE
70506-262,periapt fungicide,70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,FUNGICIDE,False,periaptfungicide70506-262,FALSE
70506-301,DEVRINOL 2-XT SELECTIVE HERBICIDE,70506,REGISTERED,1283281,CLOSED,ROUTINE,2024-07-16,MATTHEW J GOGIS,HERBICIDE,False,devrinol2-xtselectiveherbicide70506-301,FALSE
70506-310,INTERLINE HERBICIDE (NO USE IN IN NASSAU & SUFFOLK COUNTIES),70506,REGISTERED,1283409,CLOSED,ROUTINE,2024-07-18,JYOTHI MURUNDI,HERBICIDE,False,interlineherbicide(nouseininnassausuffolkcounties)70506-310,FALSE
70506-337,"ENKOUNTER INSECTICIDE (no sale, use or distribution in Nassau and Suffolk counties)(pome fruit only in ny)",70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,INSECTICIDE,False,"enkounterinsecticide(nosale,useordistributioninnassausuffolkcounties)(pomefruitonlyinny)70506-337",FALSE
70506-348,LUNGE INSECTICIDE (NYS 25 FT. BUFFER STRIP TO COASTAL MARSH REQUIRED),70506,REGISTERED,1305128,CLOSED,ROUTINE,2025-08-14,JYOTHI MURUNDI,INSECTICIDE,False,lungeinsecticide(nys25ft.bufferstriptocoastalmarshrequired)70506-348,FALSE
70506-353,UP-STAGE 3CS,70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,HERBICIDE,False,up-stage3cs70506-353,FALSE
70506-388,STartUP THIBN Fungicide,70506,REGISTERED,1280849,CLOSED,ROUTINE,2024-05-31,MATTHEW J GOGIS,FUNGICIDE,False,startupthibnfungicide70506-388,FALSE
70506-438,ZOLERA FX FUNGICIDE (NO LI) (NO APP WITHIN 100 FT OF COASTAL MARSH) (NO AERIAL APP IN NY),70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,FUNGICIDE,False,zolerafxfungicide(noli)(noappwithin100ftofcoastalmarsh)(noaerialappinny)70506-438,FALSE
70506-484,TRIZENTA HERBICIDE (0.25 lb. ai max application rate on Long Island),70506,REGISTERED,1277363,CLOSED,ROUTINE,2024-04-01,MATTHEW J GOGIS,HERBICIDE,False,trizentaherbicide(0.25lb.aimaxapplicationrateonlongisl)70506-484,FALSE
70506-500,TRIZENTA 3EC HERBICIDE (MAX USE RATE 10.67 FL OZ (0.25lb ai)PER ACRE PER YEAR ON LI),70506,REGISTERED,1277363,CLOSED,ROUTINE,2024-04-01,MATTHEW J GOGIS,HERBICIDE,False,trizenta3echerbicide(maxuserate10.67floz(0.25lbai)peracreperyearonli)70506-500,FALSE
70506-526,DIMILIN 25W,70506,REGISTERED,1304283,CLOSED,ROUTINE,2025-07-28,SHAUN PETERSON,GROWTH REGULATOR,False,dimilin25w70506-526,FALSE
70506-57,BIFENTURE EC AGRICULTURAL INSECTICIDE (NYS SPECIFIC LANGUAGE) (NO USE ON GOLF COURSES OR SOD FARMS ON LI),70506,REGISTERED,1306447,CLOSED,ROUTINE,2025-09-04,KATHERINE HETTER,INSECTICIDE,False,bifentureecagriculturalinsecticide(nysspecificlanguage)(nouseongolfcoursesorsodfarmsonli)70506-57,FALSE
70506-582,PROCURE 480SC,70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,FUNGICIDE,False,procure480sc70506-582,FALSE
70506-598,BELMONT 2.7 FS,70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,FUNGICIDE,False,belmont2.7fs70506-598,FALSE
70506-609,"SHENZI 700 WG INSECTICIDE (NO SALE, USE, DISTRIBUTION IN NASSAU, SUFFOLK, KINGS, & QUEENS COUNTIES) (NO APP WITHIN 100 FT OF WATER BODY) (NO AERIAL APPLICATION)",70506,REGISTERED,1301357,CLOSED,ROUTINE,2025-06-04,KATHERINE HETTER,INSECTICIDE,False,"shenzi700wginsecticide(nosale,use,distributioninnassau,suffolk,kings,queenscounties)(noappwithin100ftofwaterbody)(noaerialapplication)70506-609",FALSE
70506-623,AUDIT 9:1 HERBICIDE (NO AERIAL APPLICATION IN NYS),70506,REGISTERED,1272111,CLOSED,ROUTINE,2023-12-08,JYOTHI MURUNDI,HERBICIDE,False,audit9:1herbicide(noaerialapplicationinnys)70506-623,FALSE
8033-23-70506,ASSAIL 70WP INSECTICIDE (RESTRICTED USE AS OF 1/1/2023),70506,REGISTERED,1273288,CLOSED,ROUTINE,2024-02-16,KATHERINE HETTER,INSECTICIDE,False,assail70wpinsecticide(restricteduseasof112023)8033-23-70506,FALSE
93505-1-70506,BACIX,70506,REGISTERED,1294222,CLOSED,ROUTINE,2025-02-06,KATHERINE HETTER,"FUNGICIDE, GROWTH REGULATOR",False,bacix93505-1-70506,FALSE
706-109,CLAIRE JET FORCE WASP & HORNET KILLER,706,REGISTERED,1288105,CLOSED,ROUTINE,2024-12-11,KATHERINE HETTER,INSECTICIDE,False,clairejetforcewasphornetkiller706-109,FALSE
707-133,KATHON 725 BF ANTIMICROBIAL,707,REGISTERED,1290299,CLOSED,ROUTINE,2024-11-15,SHAUN PETERSON,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,kathon725bfantimicrobial707-133,FALSE
707-133,KATHON WT 1.5% Biocide,707,REGISTERED,1290296,CLOSED,ROUTINE,2024-11-15,SHAUN PETERSON,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,kathonwt1.5%biocide707-133,FALSE
707-133,KATHON CF 150 BIOCIDE,707,REGISTERED,1290297,CLOSED,ROUTINE,2024-11-15,SHAUN PETERSON,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,kathoncf150biocide707-133,FALSE
707-134,KATHON 886 MW 1.5% Biocide,707,REGISTERED,1273306,CLOSED,ROUTINE,2024-01-26,KATHERINE HETTER,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,kathon886mw1.5%biocide707-134,FALSE
707-134,KATHON LX 1.5% Biocide,707,REGISTERED,1290295,CLOSED,ROUTINE,2024-11-15,SHAUN PETERSON,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,kathonlx1.5%biocide707-134,FALSE
707-256,KORDEK LX5000 Biocide,707,REGISTERED,1290282,CLOSED,ROUTINE,2024-11-15,SHAUN PETERSON,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,kordeklx5000biocide707-256,FALSE
707-299,KORDEK MLX Industrial Microbicide,707,REGISTERED,1290276,CLOSED,ROUTINE,2024-11-15,SHAUN PETERSON,"ANTIMICROBIAL, FUNGICIDE",False,kordekmlxindustrialmicrobicide707-299,FALSE
707-314,ROCIMA BT 2s MICROBICIDE,707,REGISTERED,1290270,CLOSED,ROUTINE,2024-11-15,SHAUN PETERSON,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,rocimabt2smicrobicide707-314,FALSE
707-315,ROCIMA 586,707,REGISTERED,1290267,CLOSED,ROUTINE,2024-11-15,SHAUN PETERSON,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE",False,rocima586707-315,FALSE
66243-1-70799,QUICK DEFENSE (LINEN FRESH SCENT),70799,REGISTERED,1302839,CLOSED,ROUTINE,2025-08-25,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,quickdefense(linenfreshscent)66243-1-70799,FALSE
6836-336-70930,HIGHMARK DISINFECTING WIPES1 (FRESH SCENT),70930,REGISTERED,1282684,CLOSED,ROUTINE,2024-07-12,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,highmarkdisinfectingwipes1(freshscent)6836-336-70930,FALSE
279-3349-71004,GardenTech Sevin Insect Killer Ready to Use,71004,DISCONTINUED,1292371,CLOSED,ROUTINE,2025-02-21,JYOTHI MURUNDI,INSECTICIDE,False,gardentechsevininsectkillerreadytouse279-3349-71004,FALSE
89333-1-71058,PROZATE 75 WDG FUNGICIDE,71058,REGISTERED,1282909,CLOSED,ROUTINE,2024-07-08,KATHERINE HETTER,FUNGICIDE,False,prozate75wdgfungicide89333-1-71058,FALSE
7151-4,CHLORINE,7151,REGISTERED,1302976,CLOSED,ROUTINE,2025-08-11,JYOTHI MURUNDI,"ALGAECIDE, ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,chlorine7151-4,FALSE
1022-584-71581,TUFF-BRITE,71581,REGISTERED,1282674,CLOSED,ROUTINE,2024-08-27,JYOTHI MURUNDI,"FUNGICIDE, WOOD PRESERVATIVE",False,tuff-brite1022-584-71581,FALSE
7173-304,TAKEDOWN SOFT BAIT,7173,DISCONTINUED,1297640,CLOSED,ROUTINE,2025-05-05,JYOTHI MURUNDI,RODENTICIDE,False,takedownsoftbait7173-304,FALSE
7173-310,cannon II Soft Bait,7173,REGISTERED,1297640,CLOSED,ROUTINE,2025-05-05,JYOTHI MURUNDI,RODENTICIDE,False,cannoniisoftbait7173-310,FALSE
7173-310,takedown II soft bait,7173,REGISTERED,1297640,CLOSED,ROUTINE,2025-05-05,JYOTHI MURUNDI,RODENTICIDE,False,takedowniisoftbait7173-310,FALSE
7173-312,CANNON II MINI BLOCKS,7173,REGISTERED,1297640,CLOSED,ROUTINE,2025-05-05,JYOTHI MURUNDI,RODENTICIDE,False,cannoniiminiblocks7173-312,FALSE
71910-11,Thermacell MOSQUITO REPELLENT V,71910,REGISTERED,1292365,CLOSED,ROUTINE,2025-02-27,JYOTHI MURUNDI,REPELLENT,False,thermacellmosquitorepellentv71910-11,FALSE
71910-2,THERMACELL PATIO SHIELD MOSQUITO PROTECTION (TORCH)                                            ,71910,REGISTERED,1292365,CLOSED,ROUTINE,2025-02-27,JYOTHI MURUNDI,REPELLENT,False,thermacellpatioshieldmosquitoprotection(torch)71910-2,FALSE
71910-2,THERMACELL PATIO SHIELD MOSQUITO PROTECTION (HALO REPELLER),71910,REGISTERED,1292365,CLOSED,ROUTINE,2025-02-27,JYOTHI MURUNDI,REPELLENT,False,thermacellpatioshieldmosquitoprotection(halorepeller)71910-2,FALSE
71910-6,THERMACELL Multi-insect repellent REFILLS,71910,REGISTERED,1292365,CLOSED,ROUTINE,2025-02-27,JYOTHI MURUNDI,REPELLENT,False,thermacellmulti-insectrepellentrefills71910-6,FALSE
71995-25,ROUNDUP WEED & GRASS KILLER SUPER CONCENTRATE,71995,REGISTERED,1308543,CLOSED,ROUTINE,2025-11-05,JYOTHI MURUNDI,HERBICIDE,False,roundupweedgrasskillersuperconcentrate71995-25,FALSE
71995-29,ROUNDUP WEED & GRASS KILLER CONCENTRATE PLUS,71995,REGISTERED,1308543,CLOSED,ROUTINE,2025-11-05,JYOTHI MURUNDI,HERBICIDE,False,roundupweedgrasskillerconcentrateplus71995-29,FALSE
71995-40,ROUNDUP CONCENTRATE EXTENDED CONTROL WEED & GRASS KILLER PLUS WEED PREVENTER,71995,REGISTERED,1308543,CLOSED,ROUTINE,2025-11-05,JYOTHI MURUNDI,HERBICIDE,False,roundupconcentrateextendedcontrolweedgrasskillerplusweedpreventer71995-40,FALSE
71995-63,Roundup weed barrier granules,71995,REGISTERED,1308543,CLOSED,ROUTINE,2025-11-05,JYOTHI MURUNDI,HERBICIDE,False,roundupweedbarriergranules71995-63,FALSE
71995-65,roundup weed & grass killer4,71995,REGISTERED,1308543,CLOSED,ROUTINE,2025-11-05,JYOTHI MURUNDI,HERBICIDE,False,roundupweedgrasskiller471995-65,FALSE
71995-70,Roundup For Lawns Crabgrass Destroyer2,71995,REGISTERED,1308543,CLOSED,ROUTINE,2025-11-05,JYOTHI MURUNDI,HERBICIDE,False,roundupforlawnscrabgrassdestroyer271995-70,FALSE
72431-1,ZONIX BIOFUNGICIDE                                                    ,72431,REGISTERED,1282811,CLOSED,ROUTINE,2024-08-22,JYOTHI MURUNDI,FUNGICIDE,False,zonixbiofungicide72431-1,FALSE
72563-5,MOSQUITO MAGNET R-OCTENOL BITING INSECT ATTRACTANT,72563,REGISTERED,1288161,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,INSECTICIDE,False,mosquitomagnetr-octenolbitinginsectattractant72563-5,FALSE
42750-115-72838,LIQUID HARVEST PRO GRUB CONTROL (no soil injection in nassau or suffolk counties),72838,REGISTERED,1294379,CLOSED,ROUTINE,2025-02-10,KATHERINE HETTER,INSECTICIDE,False,liquidharvestprogrubcontrol(nosoilinjectioninnassauorsuffolkcounties)42750-115-72838,FALSE
83190-1-72838,CRYSTAL PLEX ALGAE CONTROL,72838,REGISTERED,1282662,CLOSED,ROUTINE,2024-08-19,JYOTHI MURUNDI,"ALGAECIDE, HERBICIDE",False,crystalplexalgaecontrol83190-1-72838,FALSE
83190-1-72838,STOCK PLEX STOCK TANK ALGAE CONTROL,72838,REGISTERED,1282662,CLOSED,ROUTINE,2024-08-19,JYOTHI MURUNDI,"ALGAECIDE, HERBICIDE",False,stockplexstocktankalgaecontrol83190-1-72838,FALSE
83190-6-72838,LIQUID HARVEST MESOTRIONE,72838,REGISTERED,1282662,CLOSED,ROUTINE,2024-08-19,JYOTHI MURUNDI,HERBICIDE,False,liquidharvestmesotrione83190-6-72838,FALSE
89442-22-72838,LIQUID HARVEST LAWN WEED KILLER,72838,REGISTERED,1296553,CLOSED,ROUTINE,2025-03-20,KATHERINE HETTER,HERBICIDE,False,liquidharvestlawnweedkiller89442-22-72838,FALSE
89442-51-72838,LIQUID HARVEST 61.6% TRICLOPYR,72838,REGISTERED,1303340,CLOSED,ROUTINE,2025-07-08,MATTHEW J GOGIS,HERBICIDE,False,liquidharvest61.6%triclopyr89442-51-72838,FALSE
9480-5-72956,Amazon Basics Disinfecting Wipes 1 Lemon Scent,72956,REGISTERED,1274047,CLOSED,ROUTINE,2024-01-22,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,amazonbasicsdisinfectingwipes1lemonscent9480-5-72956,FALSE
73049-522,Zorda WG Biological Fungicide,73049,REGISTERED,1308533,CLOSED,ROUTINE,2025-10-07,JYOTHI MURUNDI,FUNGICIDE,False,zordawgbiologicalfungicide73049-522,FALSE
73232-4,Alpet D2 Quat-Free Surface Sanitizer,73232,REGISTERED,1302861,CLOSED,ROUTINE,2025-07-09,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,alpetd2quat-freesurfacesanitizer73232-4,FALSE
538-270-73327,VIGORO FALL WEED & FEED I,73327,DISCONTINUED,1297642,CLOSED,ROUTINE,2025-04-30,JYOTHI MURUNDI,HERBICIDE,False,vigorofallweedfeedi538-270-73327,FALSE
538-270-73327,WINTERIZER WEED and FEED,73327,REGISTERED,1297642,CLOSED,ROUTINE,2025-04-30,JYOTHI MURUNDI,HERBICIDE,False,winterizerweedfeed538-270-73327,FALSE
70506-56-73327,GREEN LIGHT AMAZE GRASS & WEED PREVENTER3,73327,DISCONTINUED,1297642,CLOSED,ROUTINE,2025-04-30,JYOTHI MURUNDI,HERBICIDE,False,greenlightamazegrassweedpreventer370506-56-73327,FALSE
73385-1,QUIMAG QUIMICOS AGUILA COPPER SULFATE CRYSTAL,73385,REGISTERED,1292496,CLOSED,ROUTINE,2025-02-06,JYOTHI MURUNDI,"ALGAECIDE, ANTIMICROBIAL, FUNGICIDE, HERBICIDE, MOLLUSCICIDE",False,quimagquimicosaguilacoppersulfatecrystal73385-1,FALSE
279-3206-73748,MASTERLINE B MAXXPRO TERMICIDE/INSECTICIDE (NYS SPECIFIC LANGUAGE),73748,REGISTERED,1277713,CLOSED,ROUTINE,2024-04-19,JYOTHI MURUNDI,"INSECTICIDE, TERMITICIDE",False,masterlinebmaxxprotermicideinsecticide(nysspecificlanguage)279-3206-73748,FALSE
73771-5,FUNGI-PHITE,73771,REGISTERED,1305360,CLOSED,ROUTINE,2025-08-15,KATHERINE HETTER,FUNGICIDE,False,fungi-phite73771-5,FALSE
1021-1588-7401,FERTI-LOME FLYING INSECT KILLER,7401,DISCONTINUED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,INSECTICIDE,False,ferti-lomeflyinginsectkiller1021-1588-7401,FALSE
2217-603-7401,FERTI-LOME WEED-OUT PLUS LAWN FERTILIZER,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,HERBICIDE,False,ferti-lomeweed-outpluslawnfertilizer2217-603-7401,FALSE
2217-865-7401,FERTI-LOME WEED FREE ZONE READY-TO-USE,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,HERBICIDE,False,ferti-lomeweedfreezoneready-to-use2217-865-7401,FALSE
53883-362-7401,"FERTI-LOME PALM TREE FOOD PLUS SYSTEMIC (NO SALE, USE, OR DISTRIBUTION IN NASSAU, SUFFOLK, KINGS, OR QUEENS COUNTIES IN NYS)",7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,INSECTICIDE,False,"ferti-lomepalmtreefoodplussystemic(nosale,use,ordistributioninnassau,suffolk,kings,orqueenscountiesinnys)53883-362-7401",FALSE
62719-483-7401,FERTI-LOME CRABGRASS PREVENTER PLUS LAWN FOOD CONTAINING DIMENSION (MAX APP RATE IN NY OF 0.25 LB/AI/ACRE/YR),7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,HERBICIDE,False,ferti-lomecrabgrasspreventerpluslawnfoodcontainingdimension(maxapprateinnyof0.25lbaiacreyr)62719-483-7401,FALSE
67702-1-7401,ferti-lome copper fungicide ready-to-use,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,FUNGICIDE,False,ferti-lomecopperfungicideready-to-use67702-1-7401,FALSE
70051-75-7401,FERTI-LOME FRUIT TREE SPRAY,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,"FUNGICIDE, INSECTICIDE, MITICIDE",False,ferti-lomefruittreespray70051-75-7401,FALSE
7401-252,FERTI-LOME ROOT STIMULATOR & PLANT STARTER SOLUTION,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,GROWTH REGULATOR,False,ferti-lomerootstimulatorplantstartersolution7401-252,FALSE
7401-290,FERTI-LOME DIPEL DUST BIOLOGICAL INSECTICIDE,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,INSECTICIDE,False,ferti-lomedipeldustbiologicalinsecticide7401-290,FALSE
7401-451,HI-YIELD SUPER CONCENTRATE KILLZALL WEED & GRASS KILLER,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,HERBICIDE,False,hi-yieldsuperconcentratekillzallweedgrasskiller7401-451,FALSE
7401-453,HI-YIELD KILL-A-BUG II LAWN GRANULES,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,INSECTICIDE,False,hi-yieldkill-a-bugiilawngranules7401-453,FALSE
7401-458,HI-YIELD KILL-A-BUG II INDOOR/OUTDOOR SPRAY,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,"INSECTICIDE, TERMITICIDE",False,hi-yieldkill-a-bugiiindooroutdoorspray7401-458,FALSE
7969-58-7401,FERTI-LOME OVER-THE-TOP II GRASS KILLER,7401,REGISTERED,1297633,CLOSED,ROUTINE,2025-04-24,JYOTHI MURUNDI,HERBICIDE,False,ferti-lomeover-the-topiigrasskiller7969-58-7401,FALSE
6836-379-74058,HANDY CLEAN RINSE-FREE FOOD CONTACT SANITIZING WIPES (FRAGRANCE FREE),74058,REGISTERED,1302903,CLOSED,ROUTINE,2025-08-01,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,hycleanrinse-freefoodcontactsanitizingwipes(fragrancefree)6836-379-74058,FALSE
62637-1-74466,MICROBE-LIFT BMC (FOR MEDIUM WATER GARDENS),74466,REGISTERED,1297681,CLOSED,ROUTINE,2025-05-15,KATHERINE HETTER,"INSECTICIDE, MOSQUITO LARVICIDE",False,microbe-liftbmc(formediumwatergardens)62637-1-74466,FALSE
74530-53,KENDO 9.7 CS (DO NOT APPLY WITHIN 100 FT OF COASTAL MARSHES OR STREAMS THAT DRAIN INTO A COASTAL MARSH),74530,REGISTERED,1302847,CLOSED,ROUTINE,2025-08-13,KATHERINE HETTER,INSECTICIDE,False,kendo9.7cs(donotapplywithin100ftofcoastalmarshesorstreamsthatdrainintoacoastalmarsh)74530-53,FALSE
74655-26,BIOSPERSE CX7250 MICROBIOCIDE,74655,REGISTERED,1297641,CLOSED,ROUTINE,2025-06-26,KATHERINE HETTER,"ALGAECIDE, ANTIMICROBIAL, MOLLUSCICIDE",False,biospersecx7250microbiocide74655-26,FALSE
84683-3-74771,BENEFECT BOTANICAL DECON 30 DISINFECTANT (LIGHT LEMON AND THYME SCENT),74771,REGISTERED,1295960,CLOSED,ROUTINE,2025-03-10,SHAUN PETERSON,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,benefectbotanicaldecon30disinfectant(lightlemonthymescent)84683-3-74771,FALSE
42750-117-74779,XYTECT 75 WSP INSECTICIDE (NO SOIL INJECTION ON LI),74779,REGISTERED,1309027,IN REVIEW,ROUTINE,2025-11-20,JYOTHI MURUNDI,INSECTICIDE,False,xytect75wspinsecticide(nosoilinjectiononli)42750-117-74779,FALSE
62097-24-74479,PBZ 2SC,74779,REGISTERED,1309027,IN REVIEW,ROUTINE,2025-11-20,JYOTHI MURUNDI,GROWTH REGULATOR,False,pbz2sc62097-24-74479,FALSE
74779-14,"OPTROL INSECT CONTROL [NOT FOR SALE, USE OR DISTRIBUTION IN OR INTO NASSAU, SUFFOLK, KINGS OR QUEENS COUNTIES, NEW YORK] (RESTRICTED USE AS OF 1/1/2023)",74779,REGISTERED,1309027,IN REVIEW,ROUTINE,2025-11-20,JYOTHI MURUNDI,INSECTICIDE,False,"optrolinsectcontrol[notforsale,useordistributioninorintonassau,suffolk,kingsorqueenscounties,newyork](restricteduseasof112023)74779-14",FALSE
74779-19,Cambistat ROW,74779,REGISTERED,1309027,IN REVIEW,ROUTINE,2025-11-20,JYOTHI MURUNDI,GROWTH REGULATOR,False,cambistatrow74779-19,FALSE
74779-2,BACASTAT TREE INJECTION,74779,REGISTERED,1309027,IN REVIEW,ROUTINE,2025-11-20,JYOTHI MURUNDI,FUNGICIDE,False,bacastattreeinjection74779-2,FALSE
74986-5,GC 30,74986,REGISTERED,1308587,,ROUTINE,,,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,gc3074986-5,FALSE
1839-190-75153,GERMACLEAN DISINFECTING WIPES (Lemon Scent),75153,REGISTERED,1301154,CLOSED,ROUTINE,2025-05-29,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,germacleisinfectingwipes(lemonscent)1839-190-75153,FALSE
69470-20-75217,POOLBRAND MULTI-FUNCTIONAL CHLORINATING GRANULES,75217,REGISTERED,1308559,,ROUTINE,,,"ALGAECIDE, DISINFECTANT, SANITIZER",False,poolbrmulti-functionalchlorinatinggranules69470-20-75217,FALSE
75287-3,STIMPLEX CROP BIOSTIMULANT,75287,REGISTERED,1302972,CLOSED,ROUTINE,2025-07-28,JYOTHI MURUNDI,GROWTH REGULATOR,False,stimplexcropbiostimulant75287-3,FALSE
6836-336-75399,KEYFOOD QUALITY DISINFECTING WIPES1 (LEMON SCENT),75399,DISCONTINUED,1302875,CLOSED,ROUTINE,2025-07-14,JYOTHI MURUNDI,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,keyfoodqualitydisinfectingwipes1(lemonscent)6836-336-75399,FALSE
64321-1-75406,NIX Lice Killing Spray,75406,REGISTERED,1297700,CLOSED,ROUTINE,2025-04-10,JYOTHI MURUNDI,INSECTICIDE,False,nixlicekillingspray64321-1-75406,FALSE
2724-495-7698,crystalyx igr pro,7698,REGISTERED,1273321,CLOSED,ROUTINE,2024-02-09,KATHERINE HETTER,GROWTH REGULATOR,False,crystalyxigrpro2724-495-7698,FALSE
773-81,DOUBLE BARREL VP INSECTICIDE EAR TAGS,773,REGISTERED,1299562,CLOSED,ROUTINE,2025-05-06,KATHERINE HETTER,INSECTICIDE,False,doublebarrelvpinsecticideeartags773-81,FALSE
773-84,ULTRA BOSS,773,REGISTERED,1299557,CLOSED,ROUTINE,2025-05-06,KATHERINE HETTER,INSECTICIDE,False,ultraboss773-84,FALSE
777-114,LYSOL BRAND II KILLS 99.9% OF VIRUSES & BACTERIA DISINFECTING WIPES-EARLY MORNING BREEZE SCENT,777,REGISTERED,1292348,CLOSED,ROUTINE,2025-01-08,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,lysolbriikills99.9%ofvirusesbacteriadisinfectingwipes-earlymorningbreezescent777-114,FALSE
777-114,LYSOL BRAND II KILLS 99.9% OF VIRUSES & BACTERIA ADVANCED CLEANING DISINFECTING WIPES (OCEAN FRESH SCENT),777,REGISTERED,1292348,CLOSED,ROUTINE,2025-01-08,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,lysolbriikills99.9%ofvirusesbacteriaadvancedcleaningdisinfectingwipes(oceanfreshscent)777-114,FALSE
777-127,DISINFECTANT SPRAY II PET ODOR ELIMINATOR LYSOL BRAND KILLS 99.9% OF VIRUSES & BACTERIA (FRESH SCENT),777,REGISTERED,1292348,CLOSED,ROUTINE,2025-01-08,KATHERINE HETTER,"ANTIMICROBIAL, DISINFECTANT, SANITIZER",False,disinfectantsprayiipetodoreliminatorlysolbrkills99.9%ofvirusesbacteria(freshscent)777-127,FALSE
